"","featureRankedList4join2","3","4","5","6","15","16","17","18","19","20","1","2","7","8","9","10","11","12","13","14"
"class$V1",NA,"1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3"
"X",NA,"mns20pip2p2","mns20pip4p","mns22pip2p","mns24pip4p","mns9pip4p","mnsC50pip2p","mnsC51pip4p2","mnsC52pip2p2","mnsC53pip2p2","mnsJ1pip4p","mns13pip3p_again","mns1pip3p","mns26pip1p","mns27pip1p","mns28pip1p2","mns2pip1p2","mns31pip3p2","mns32pip3p","mns34pip3p","mns4pip1p"
"X8.436166407","231","-0.5413500","-0.6877961"," 0.2439458"," 0.4640996"," 1.1228748"," 1.0082641","-0.9263012","-0.7290569","-0.7911753"," 0.3989988"," 0.3591631","-1.0029260"," 0.6442687","-0.7719540","-0.4003548","-0.5586674","-0.8095564","-0.3716206","-0.5831541"," 0.6235429"
"X8.436666407","1079","-0.3893856","-0.6869384"," 0.2377254"," 0.4515901"," 1.2124173"," 1.0363775","-0.9674472","-0.6593818","-0.7719496"," 0.4275647"," 0.3878428","-1.0371385"," 0.5749047","-0.8173890","-0.3380372","-0.4399921","-0.8532710","-0.2603170","-0.6208122"," 0.6332189"
"X8.437333094","98","-0.001709252","-0.513894740","-1.346890488"," 0.623691705"," 1.199982220","-1.369005568","-0.766543276","-0.416184456","-0.527128287"," 0.770486078"," 0.382527188","-0.950591159"," 0.752185519","-0.631619473","-0.255147135","-0.111525074","-0.595923864","-0.001774960","-0.455365785"," 1.014285097"
"X8.437583094","1114","-0.5477575","-0.6359409"," 0.3317898"," 0.5524548"," 1.2077983","-0.5346041","-0.9291824","-0.6797231","-0.7458189"," 0.4790016"," 0.4250647","-0.9250940"," 0.7075794","-0.6847011","-0.4188110","-0.4256624","-0.7223293","-0.2893059","-0.5852434"," 0.7390741"
"X8.437833094","1271","-0.19250895","-0.66561398"," 0.46007701"," 0.79336637"," 1.40357260"," 1.45985027","-0.96899693","-0.74098493","-0.63612847"," 1.05996197"," 0.40632946","-1.10418902","-1.25268749","-0.73499852","-0.69639092","-0.19861482","-0.67280840","-0.03797165","-0.46071805"," 1.18729410"
"X8.438249761","310","-0.3040727","-0.6479542"," 0.2313051"," 0.5147257"," 1.0250289"," 1.2662933","-1.2082274","-0.8389497","-0.7078799"," 0.7276388"," 0.1636784","-1.1050030"," 0.6658591","-0.8195630","-0.2207737","-0.2840118","-0.8455490","-0.1416435","-0.6451192"," 0.8375022"
"X8.442499741","87","-0.8578403","-0.5391570"," 0.5356766"," 0.7251565"," 1.3020340"," 1.2095518","-0.8578403","-0.8578403","-0.8578403","-0.8136138"," 0.5270255","-0.7281461"," 0.8349349","-0.4082210","-0.7776653","-0.7145466","-0.7820586","-0.7855854","-0.2778583"," 0.9035516"
"X8.449999555","86","-0.4851383","-0.6799659"," 0.2690169"," 0.5080371"," 1.0041095"," 1.0764460","-1.0392011","-0.7539685","-0.7184550"," 0.3264300"," 0.6469379","-0.9846621"," 0.5129782","-0.6454606","-0.4343814","-0.3898404","-0.7700692","-0.2031454","-0.6508565"," 0.6265990"
"X8.585916742","243","-0.542214743","-0.702607413"," 0.633555429"," 0.285836752"," 1.193600961"," 0.701681782","-0.823703655","-0.823329646","-0.821920082","-0.282914938"," 1.469452635","-0.695022670"," 0.186292729","-0.555469313","-0.463732716","-0.667599964","-0.670349862","-0.544455071","-0.414752624","-0.009590105"
"X8.896167029","984","-0.77771924","-0.60266579"," 0.56973841"," 0.08344075"," 2.07254723"," 2.23823686","-0.92240032","-0.72605993","-0.61060407","-0.25514847","-0.74403726","-0.22770620","-0.03878970","-0.37171973","-0.92486435","-0.58739870","-0.49317349","-0.54971317","-0.58956496","-0.07356349"
"X9.17500017","624"," 2.4092186151","-0.2832061086","-0.6194861011","-0.9167116033","-1.0619858171","-0.3939763686"," 0.3947728025","-0.3947189971","-0.6333275424"," 0.6785371443","-0.7468848566","-0.0005073156","-0.8292465365","-0.3762386156"," 0.5963029332","-0.2581884322"," 1.7801906379"," 0.4901159088","-0.1872144053","-0.3896315655"
"X9.175417023","717"," 2.49101268"," 0.09207154","-1.29557921","-0.84566966","-1.36816582","-0.41184399"," 0.67890613","-0.11412539","-0.40794355"," 1.12521082","-1.19246970"," 0.22808242","-1.41968701","-0.00640038"," 0.24080933","-0.09633595"," 1.85079669"," 0.59727651","-0.33815418","-0.43413502"
"X9.1766664","1259"," 0.93418291","-0.68222090","-0.99064360"," 0.87546111"," 0.69217603"," 1.98810931","-0.27754210","-0.76643413","-1.04201593","-0.08001596"," 1.77788490","-0.60759128","-0.32698397","-0.80732032"," 0.17186462","-0.83878238"," 0.46860500","-0.37211599","-0.26213636"," 0.02169376"
"X9.176666957","999"," 2.15623852","-0.55189892","-0.70819663","-0.49443827","-1.44710644"," 0.38690599"," 0.05504457","-0.91730285","-1.18820694"," 0.58205077","-0.65058701","-0.34526198","-0.33261684","-0.41318668"," 0.91879918","-0.76514215"," 1.47214566"," 0.06602015"," 0.29731904"," 0.13264808"
"X9.182166672","1398"," 0.52601783","-0.79533819","-0.94339465"," 0.50983571"," 0.46788604"," 1.53640061","-0.46890575","-0.86431255","-0.96719411","-0.32509099"," 1.42093767","-0.68004409","-0.42954196","-0.81497965","-0.03716217","-0.77919218"," 0.22902416","-0.41246596","-0.40525926","-0.22004007"
"X9.188416734","88"," 0.621950785","-0.806223207","-0.990346915"," 0.524507239"," 0.454481640"," 1.552635507","-0.458027996","-0.877720654","-0.988965891","-0.329291672"," 1.397444016","-0.665821143","-0.441948338","-0.830399493"," 0.001460271","-0.792333988"," 0.278921235","-0.443982662","-0.390455703","-0.211356024"
"X9.189499975","1506"," 0.01042545","-0.76527163","-0.70250079"," 0.57483146"," 0.72214176"," 1.51760697","-0.58045568","-0.95332671","-0.91000766","-0.40726096"," 1.64288945","-0.67171669","-0.31050482","-0.65214889","-0.17718795","-0.76687139","-0.08479349","-0.44487272","-0.37176782","-0.19944272"
"X9.190333318","1258"," 0.9107661","-0.8542242","-1.1146799"," 0.5265376"," 0.3178258"," 1.6953072","-0.4085515","-0.8462123","-1.0102715","-0.3103920"," 1.3294634","-0.7062268","-0.5012658","-0.9569956"," 0.1354534","-0.7861896"," 0.4595884","-0.3829615","-0.3710834","-0.1995295"
"X9.191083308","147"," 1.082448168","-0.539198341","-1.083525734"," 0.006532114"," 0.052240913"," 2.041330603","-0.450964857","-1.130174365","-0.986734602","-0.201655490"," 1.562451027","-0.730179565","-0.170369455","-0.784711311"," 0.384658551","-0.962941565"," 0.721034963","-0.801750873","-0.855052867","-0.200691973"
"X9.191083411","1129"," 0.03015848","-0.73866533","-0.69809027"," 0.49621542"," 0.63470733"," 1.40892889","-0.57181741","-0.87645121","-0.88095021","-0.42457483"," 1.48154219","-0.63724610","-0.32491916","-0.65782214","-0.20384211","-0.74349131","-0.07732352","-0.47488643","-0.39513282","-0.23570849"
"X9.191416827","498"," 0.47438621","-0.88702108","-0.84596513"," 0.51605316"," 0.47810153"," 1.47511068","-0.46921152","-0.78273037","-0.95077372","-0.30198801"," 1.43432143","-0.62785778","-0.41676873","-0.72051870","-0.05475879","-0.76962898"," 0.14143653","-0.54415883","-0.39486896","-0.16706389"
"X9.191833504","837"," 0.70061566","-0.82049249","-1.02663092"," 0.53714543"," 0.42461494"," 1.59776850","-0.43702784","-0.85506991","-1.00847994","-0.28490467"," 1.34769473","-0.68990635","-0.45019980","-0.88693207"," 0.02071488","-0.79925782"," 0.34119523","-0.42707589","-0.40376435","-0.20898455"
"X9.19216692","284"," 0.03150637","-0.73069654","-0.69669015"," 0.55713029"," 0.65950656"," 1.46829510","-0.54990510","-0.88567632","-0.91976550","-0.38466972"," 1.49735563","-0.64247491","-0.29836524","-0.63946159","-0.21892554","-0.78917014","-0.08099921","-0.49755812","-0.40055870","-0.21591068"
"X9.192500336","681"," 0.6700857","-0.7714436","-0.8887366"," 0.5899076"," 0.4396170"," 1.5487600","-0.4761032","-0.8762792","-0.9861772","-0.2231958"," 1.3604188","-0.6296428","-0.3574329","-0.8089982"," 0.0328991","-0.7974773"," 0.2566843","-0.5413442","-0.3723134","-0.1219974"
"X9.192666711","84"," 0.46433614","-0.76067686","-0.93507988"," 0.65726682"," 0.44955325"," 1.54267148","-0.46024648","-0.87042287","-0.99075113","-0.23097616"," 1.50434330","-0.69403259","-0.39514700","-0.78586489","-0.08527745","-0.82694739"," 0.16680055","-0.46336773","-0.39441569","-0.11529449"
"X9.192833087","711"," 0.22619198","-0.71147465","-0.75966570"," 0.59873391"," 0.57249000"," 1.44756718","-0.50877434","-0.84739717","-0.91923995","-0.32697874"," 1.48942049","-0.63178119","-0.32215154","-0.65711061","-0.16052012","-0.78134785"," 0.01575543","-0.48046300","-0.38286343","-0.17715082"
