"","Comp 1","Comp 2","Comp 3"
"mns20pip2p2",12.9277567195437,9.57924865645184,5.56026109917926
"mns20pip4p",9.1937233016838,-5.6881066266919,-1.06497529616171
"mns22pip2p",-2.46741475933843,-6.92392510650316,8.10297011592922
"mns24pip4p",-1.42228500540932,5.72538786263998,12.6413436982649
"mns9pip4p",-25.0401008908788,-18.5266859097264,9.38535470032161
"mnsC50pip2p",-6.86094414738101,13.8002319838597,8.41758645958067
"mnsC51pip4p2",13.2567088525059,8.37823849135803,4.28578528577756
"mnsC52pip2p2",19.0371360143238,6.28781306919015,2.90089827284179
"mnsC53pip2p2",17.3968628266269,-4.42432474650912,1.04325218336012
"mnsJ1pip4p",2.88178243671069,-20.4918566857279,-0.30967795998559
"mns12pip4p",-0.493624146996508,10.5670464736555,10.2576299877417
"mns15pip2p",-39.3733923481826,24.5637417010777,-8.81520262355193
"mns15pip4p2",14.6495164679222,17.4601368551379,-2.18014524914974
"mns18pip2p",-47.3468906915754,-12.3186328949055,-2.58171901410109
"mns23pip2p",-3.17490600930355,21.438784895425,-0.241642600615972
"mns23pip4p",9.38011852292401,12.1505141029781,-0.0819636668544212
"mns24pip2p",-2.50616177264666,25.6496178871024,7.89986103527667
"mns41pip4p",-15.1543286472908,1.78991308641482,-3.08276046248442
"mns9pip2p",-51.4456408860621,1.85334528999491,-12.481348879061
"mnsC52pip4p",-44.9083176732984,2.9356310893954,-0.964036429672052
"mns13pip3p_again",-24.0342490618915,-0.885884884797241,5.85676097089974
"mns1pip3p",13.2148784988888,16.8726505711525,-8.87431815879146
"mns26pip1p",-7.07543222008709,-38.1263602050774,8.15115791814549
"mns27pip1p",8.3837110793732,16.8032542624101,3.02941343556896
"mns28pip1p2",7.51196597091026,-2.82784667626808,12.1345956318691
"mns2pip1p2",14.8529954662066,-9.32843281839596,-0.149046442473316
"mns31pip3p2",11.9747969762483,-4.36384065439887,-2.21157375300208
"mns32pip3p",12.1414725193478,-17.4534163291829,-4.2510674236619
"mns34pip3p",4.12849772657718,-9.10445323710874,10.135799897946
"mns4pip1p",0.790910314408405,-2.10069677814303,6.07153043248874
"mns25pip3p",-3.79155292613272,-15.3723603104853,-2.6579630093734
"mns26pip3p2",13.8383556188221,-0.928696058754971,-2.7763925148826
"mns30pip1p",7.04643803143651,11.994410065417,-3.21839290556164
"mns30pip3p2",11.2728411405567,-12.5672167288596,-11.3882417741874
"mns32pip1p",7.73382381867039,-12.8911705924841,-5.92400756064632
"mns34pip1p",12.8424079224721,6.77630971675388,-15.5146544555397
"mns35pip1p2",13.931204420399,-26.0300135161532,-9.91855021259346
"mns3pip3p",11.1837013904718,3.31189068733527,-3.54818464533921
"mns4pip3p2",14.9255888271706,-1.32632310112967,-5.91885934598757
"mns6pip1p",10.5980463222742,3.74207711355286,-7.71947674151362
