rtmed,mns13pip3p_again,mns1pip3p,mns20pip2p2,mns20pip4p,mns22pip2p,mns24pip4p,mns26pip1p,mns27pip1p,mns28pip1p2,mns2pip1p2,mns31pip3p2,mns32pip3p,mns34pip3p,mns4pip1p,mns9pip4p,mnsC50pip2p,mnsC51pip4p2,mnsC52pip2p2,mnsC53pip2p2,mnsJ1pip4p,mns12pip4p,mns15pip2p,mns15pip4p2,mns18pip2p,mns23pip2p,mns23pip4p,mns24pip2p,mns25pip3p,mns26pip3p2,mns30pip1p,mns30pip3p2,mns32pip1p,mns34pip1p,mns35pip1p2,mns3pip3p,mns41pip4p,mns4pip3p2,mns6pip1p,mns9pip2p,mnsC52pip4p
8.896167029,1136.425733,794.5541531,526.6402503,741.4729967,3547.43046,3017.042843,2463.134522,817.724059,756.9071513,718.2291295,764.9121263,641.8058621,1493.113513,2305.160681,7902.299201,5044.849864,424.5301215,234.619894,635.6694825,1236.334467,2926.748239,1236.181521,528.6013952,7455.1347,1362.519844,1024.929056,1101.79703,3043.382203,692.9531828,2007.362794,640.1391963,1554.816565,688.3260483,257.5666587,1147.17082,2968.539609,481.4685654,1386.460794,4721.839938,5767.974259
9.17500017,394081.7209,221539.1218,549329.3351,269027.0512,439701.4315,416016.4299,391283.8348,220095.0081,648677.2646,258641.5542,476306.5778,296266.6957,556582.9611,477734.1745,421157.4454,380126.9539,337999.1864,95559.43051,195317.7878,450847.4955,454713.8714,166512.1459,505478.5863,320523.1556,429564.3161,260754.239,369214.1066,322470.7757,382499.3671,402244.3501,500845.4395,363577.4942,526300.4985,57145.19251,280803.0628,318518.9461,202545.6453,547598.058,601353.6964,273967.6455
9.175417023,282461.0285,254253.4519,604223.2881,330130.3389,265493.5719,436563.9522,233289.7841,270499.8035,601647.3216,288870.6338,521099.2525,324928.758,535539.2001,479914.9917,310710.0083,387283.5056,393981.9144,112892.0512,225683.4193,549864.6984,532296.8882,193829.4793,555330.5608,323372.845,327023.8473,291294.6228,441848.0582,335944.0924,424596.8172,479499.2156,585597.8034,402553.1232,584352.1858,75886.08779,314282.7465,332331.4652,252618.7136,592590.7089,244211.6137,272211.1474
9.1766664,18667.85017,2885.732614,7170.329642,3772.078192,5783.107829,16883.84713,9088.055235,2952.992457,10187.45287,3207.357499,6069.930867,3700.238317,9585.406383,10381.28262,17744.51901,15710.54753,4592.672692,1332.504755,2475.540462,6152.334741,10002.56756,1102.804404,6294.546207,16407.28617,5270.571103,3328.950969,15014.30568,5319.450771,4781.541123,5382.735136,6377.35214,4581.058348,6739.294036,778.9394232,3523.067958,5559.79472,2739.170067,7516.409358,17828.21906,19749.75672
9.176666957,392315.4037,171852.0773,404351.382,218720.8475,397989.2929,488422.8614,460779.9068,196834.3729,585024.946,191010.552,351106.5373,219247.2088,573320.3814,514854.5875,352455.9479,442037.8259,257639.9047,70518.18156,143544.0482,363392.227,488621.5672,398034.1488,376169.3613,403357.295,370395.8751,200743.4674,434238.5914,378765.161,282320.7718,330286.4761,370502.6088,275474.1949,405823.5008,47437.56621,214360.4049,373071.6705,161440.2405,459486.4016,325836.8588,344145.7453
9.182166672,140299.7465,19615.71209,49791.32412,24274.8745,40371.69175,118690.8263,63571.5299,20364.18175,71558.38326,23424.55394,43393.73257,26852.74296,65876.56218,70060.09504,130374.7251,116058.8665,30419.00191,8495.918082,17595.65861,40736.36598,70553.96051,140998.3598,46376.9718,129853.8272,39408.85217,23380.9055,108181.3117,41407.56664,34227.36666,36199.83287,45666.60578,32747.95225,48332.23053,4966.076378,25339.17787,40952.65291,18375.93811,50411.91706,131263.552,190192.9042
9.188416734,48494.55292,7189.727491,18165.10127,8770.956944,14180.50707,41931.34147,22599.51407,7335.795791,25885.85127,8439.44648,15657.38609,9419.768951,23823.9011,25076.10238,45552.98487,40556.94939,11001.62016,3074.931602,6356.41512,14513.34271,25230.38012,48579.55578,16650.19038,44958.76595,13930.41723,8338.394017,38242.1976,14553.18227,12609.26066,13073.76507,16530.72625,11748.9476,17630.7873,1890.577572,9150.528237,14562.55553,6529.24485,18159.37871,44516.74461,65137.10991
9.189499975,23383.79516,2288.7692,5384.573858,2761.855356,5836.767024,17935.40779,8963.533731,2753.813502,8835.002326,2618.750632,5012.17696,3298.119162,8639.261439,9451.591689,21520.36733,17925.97747,3361.595642,748.0947554,1882.326349,4894.060582,9708.156208,24420.89815,5209.223093,21842.84815,5735.832446,2848.152621,15258.4702,6235.654211,3965.651105,4530.040721,5092.397242,3980.098947,5727.583088,599.0700794,3007.14115,6296.874119,2161.497629,6332.695346,22384.24065,25288.43795
9.190333318,115221.0637,18303.89649,49419.58804,22459.51406,34368.09467,103475.8689,56044.06234,17615.09636,69117.00231,22511.68405,41846.17624,25122.80558,61749.38229,63984.30692,106524.0059,101884.2938,29180.80229,8464.647254,17012.67751,37446.78017,64109.64901,111315.8538,44837.87929,107305.7203,33851.45456,22114.8696,98174.2732,35809.33346,33242.21079,32925.77333,44323.72025,30903.17002,46474.01315,4640.277198,24410.82713,34932.44971,17043.57606,46533.67412,103280.8338,149498.8243
9.191083308,2827.506948,411.3293465,1199.819828,644.0164957,808.4388227,1902.854978,1550.229719,463.3235995,1762.797098,444.7652996,1058.855284,434.1483214,1015.89119,1465.351763,2174.408655,2555.492225,651.3680324,149.2238824,396.6716008,910.2550733,1450.331569,2038.375536,975.2289172,2489.755411,903.9770731,544.3178161,2162.063606,948.9591544,704.7105401,846.767972,963.4941195,631.1175715,1141.222352,124.211972,551.7647195,840.0367582,363.1197314,1129.481938,2483.474791,3657.380331
