cell,cort.pg.ml
A4,975.1885088
B4,1049.979939
C4,683.9824042
D4,384.347451
E4,439.0261329
F4,445.5627313
G4,407.7537333
H4,407.7537333
A5,616.7590527
B5,616.7590527
C5,215.9748002
D5,725.636083
E5,445.5627313
F5,331.5424579
G5,892.4371974
H5,1065.612942
A6,413.8247214
B6,225.765999
C6,98.67868724
D6,136.5935016
E6,390.0699462
F6,501.4836052
G6,290.2503724
H6,189.076134
A7,547.9837132
B7,879.3447569
C7,445.5627313
D7,472.6969482
E7,142.7859562
F7,98.67868724
G7,243.0809712
H7,212.8063563
A8,704.5014639
B8,975.1885088
C8,616.7590527
D8,704.5014639
E8,395.8776428
F8,331.5424579
G8,65.23877185
H8,106.2467831
A9,97.23102813
B9,191.891262
C9,419.9860995
D9,281.796643
E9,26.09514365
F9,21.21782673
G9,116.0985247
H9,149.2591451
A10,212.8063563
B10,153.7368295
C10,109.4341225
D10,125.0026233
E10,76.75543092
F10,50.74479795
G10,384.347451
H10,378.7089073
A11,1.37810126
B11,2.928356027
C11,44.42476718
D11,42.49811866
E11,26.09514365
F11,36.1215491
G11,7.766831842
H11,7.213590359
A12,36.65935777
B12,15.5565292
C12,32.57144083
D12,26.87798222
E12,11.57558648
F12,9.412049673
G12,11.92284709
H12,15.32830818
