cell,cort.pg.ml
A9,380.833006
B9,281.2318146
C9,309.4884819
D9,314.4665801
E9,1626.916304
F9,1454.973766
G9,45.6082763
H9,55.23364982
A10,386.9586753
B10,314.4665801
C10,1220.745372
D10,1127.132706
E10,232.2225373
F10,239.753182
G10,194.8382812
H10,197.9722398
A11,73.6111948
B11,102.9138943
C11,106.2512447
D11,86.34634051
E11,768.5194896
F11,720.9993247
G11,50.99806611
H11,67.96633195
A12,285.7554065
B12,468.6241555
C12,50.19075176
D12,35.89992614
E12,507.5451773
F12,432.6877862
G12,31.59755654
H12,32.10580078
