"","Comp 1","Comp 2"
"mns20pip2p2",0.269738694111421,-0.160141555657824
"mns20pip4p",0.222179798839929,0.0843144162724494
"mns22pip2p",0.0090627022771053,0.242237070422577
"mns24pip4p",0.002092848144228,0.0862343104267994
"mns9pip4p",-0.258653499833423,0.275990421217018
"mnsC50pip2p",-0.0855815743312641,-0.0545068104646682
"mnsC51pip4p2",0.268001541002256,-0.168664133230955
"mnsC52pip2p2",0.452833636123211,-0.121339251337818
"mnsC53pip2p2",0.369533677760403,0.0336947677970267
"mnsJ1pip4p",0.204575634507894,0.370888975631839
"mns12pip4p",-0.0088082128459521,-0.0746212747058795
"mns15pip2p",-0.613009526987398,-0.295454985616603
"mns15pip4p2",0.164218922626251,-0.402656440642111
"mns18pip2p",-0.579231764686297,0.284404315187229
"mns23pip2p",-0.148348107493854,-0.413198528249186
"mns23pip4p",0.0274062494825868,-0.312390154669953
"mns24pip2p",-0.0473164858483725,-0.272042744604854
"mns41pip4p",-0.137332678407329,-0.0256775399328375
"mns9pip2p",-0.608364172872215,0.043976647794256
"mnsC52pip4p",-0.543192712591942,-0.0439101140040477
"mns13pip3p_again",-0.300835043183447,0.0965001756209517
"mns1pip3p",0.119565278009077,-0.437267626335969
"mns26pip1p",0.0155788895713052,0.660642567952007
"mns27pip1p",0.0551886259529825,-0.290389654284264
"mns28pip1p2",0.159059968624649,0.129881865353082
"mns2pip1p2",0.283616303813185,0.0706978057277509
"mns31pip3p2",0.2933795822198,0.0384637255556402
"mns32pip3p",0.313498419569326,0.291731187784861
"mns34pip3p",0.114525191376145,0.249652614972733
"mns4pip1p",-0.0133821849302626,0.112949946020752
