"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"mns13pip3p_again",-22.7050521435322,-25.9490497552031,9.45360377585061,-5.17782576495722,0.771420124601186,-10.8723559906651,0.829011784288578,-0.442240498923552,13.0332697738063,-8.95785879611617,2.37492372672459,-8.09916205626591,0.800442196821407,-16.4571692616777,-2.42284228873614,-1.10346903010949,6.1710607985105,3.70662894531857,-4.05864103923953,-1.85035986078112,0.968232243003204,1.19825761245754,1.0666978593058,0.984307837465475,-0.0819126021238704,-0.51483726550629,-0.0327544981854372,-1.01086162525728,-0.473752115962382,0.95922005058901,0.649969293941442,0.526847094482919,0.629448877137093,0.15889078118096,-0.271203519599778,-0.147056460205237,-0.00998832126116368,-0.153159440186637,0.0937403070525219,-2.13999824805189e-14
"mns1pip3p",27.3888181555245,-3.92742170023833,-4.66407104670687,15.7079875600731,-11.9648217743719,-12.3305433039911,-3.80618990560645,-2.34696066517492,-3.97009360169094,1.93284329118577,-1.2830039788401,3.07912826389108,-0.540873739739965,-1.88008461208601,-4.19328653678011,-2.09405109264933,-3.4493399449081,0.271931370561362,-4.52831256841983,-4.77566454859195,-3.80412075938652,-0.341698244128704,-0.598376530250498,-1.47848282620224,3.42566109965672,-0.0849325759649733,-1.63489028834908,-1.682315360998,1.96830857461279,-1.35910386100667,-5.88010485786937,2.01446931879877,-2.01615576250987,-0.615857704069862,6.77231352023904,-0.973652793684331,-1.90011937586276,-0.493300146544025,-0.710942991228909,1.34464244209639e-14
"mns20pip2p2",20.2908768108914,-1.45603654538584,10.4773787878264,4.86273520702193,12.4572069829502,7.93745912986704,3.49702817553614,-3.35331748133508,2.91631988109133,1.26156585977152,9.02021605869024,6.30233391694294,2.32312663029837,-3.11735942534988,2.13754267680296,0.498100219187082,0.228438553833277,-3.04494686009595,-3.09704633680652,1.64892976420105,0.176276731095093,-4.64426914067099,6.16990798954546,-0.963606297398045,-5.44118192371612,6.13143024895206,-7.94817958056648,2.02578827054499,1.28279677462779,-3.1187370275069,0.678257233876659,-0.500614882384776,-1.67607492914596,0.82040305146078,1.11810927587025,-1.26743003222459,-0.281127931109761,0.116050125388362,-0.0345084941150401,1.09515261442761e-14
"mns20pip4p",4.94262351633208,10.5692136919461,-0.628216304397138,1.61601552505785,-2.52669064369948,-1.88964513126446,0.35587107877033,0.946792850432665,-0.723943130557692,2.99097666975931,-1.06340119414877,-1.13246181759035,2.5968453053929,0.0498795083734271,0.253795162477824,1.81637320706302,-0.0723393547514866,2.95720749080186,1.52689409264928,-3.98195477470244,2.31249759023803,0.339530075741805,1.45970298413759,1.39617991029603,-0.519865294476458,-1.89545640530977,1.38669598770242,-1.52153838759864,2.28728076597608,-0.0586937614596116,0.498672568995065,-0.533333488061905,-3.19192918294902,4.1109057427011,-2.71285439382352,-6.09597884088643,-1.60746116364653,7.39690530438408,-2.80413726676661,1.92990155106765e-14
"mns22pip2p",-7.39637240313053,-1.19509174701479,3.90871879721066,-16.2477435937623,-10.5500374186033,2.98965299175211,1.39276072145256,0.759116731602462,-3.79224646969575,-1.49933290048185,5.21665291884397,1.6933879277618,-6.1171887706197,1.48137817281695,4.9263030639891,0.801445295049067,2.87610921487886,0.736942041886818,1.96501589284532,0.545471895135512,-4.17331670647495,7.16233266238294,5.38974137099284,-0.777248394101948,2.29328902982493,-6.19252426131574,-5.08052653426661,3.73390837834738,4.06767435840619,3.53262256943008,2.4295784554155,-1.62432419483288,-0.00372771934127456,1.12122817373183,2.4997778520994,1.97794702672999,-1.43798834997032,0.859768536955273,0.311909006906371,2.34664718212763e-15
"mns24pip4p",4.98680771326632,-11.5869002521441,-7.4765613933064,-15.4124289655343,-1.13636879086497,6.88564281698469,0.877410664572807,2.10706355034247,-0.43016014314012,0.659848153399986,2.37853252771204,-2.99642437843779,3.44185390677322,-0.33380886100552,3.32765595149096,0.100019914117686,0.30466140344978,0.192591261378431,2.04200577467591,0.0679328507708903,-1.54147403071364,0.488953697425575,-0.818732251159963,3.36474407297118,2.69128970563318,0.41660073077025,-0.883015841621904,-2.04591194192132,5.10019520754404,-5.58657596630352,-5.83868956407023,-5.01404672119972,4.32404413065427,-5.72529579543905,-1.95935739729669,-1.19735777764883,1.24699874603449,0.51483547770191,-0.783028925799074,1.30449036989111e-14
"mns26pip1p",-37.0471618124433,28.3007161000671,-4.70310354625739,-21.3032409012839,-9.39146605643909,7.19995838361285,6.97497407139516,-0.458358609366693,-11.237943863766,3.36720732313543,1.1698014524552,10.5998084308169,1.74171530319811,-12.0850181109464,-3.12779761592605,0.277713531066592,0.190096643196545,-1.9188990631483,-4.17416890962076,3.96993392291277,-0.480260611550011,-1.21482582354626,-3.53237702202783,-1.34177231092404,-0.816369673699212,-0.381589418718438,2.28723475803731,1.20701202806847,-2.04277678728273,1.1467803045452,-2.37983817821838,0.0603605179408809,-0.714814417875997,-0.0209357140563472,-0.697082670793304,-0.253975615238845,0.006864500218622,0.00156872091336328,-0.299504090343011,-1.32550220799388e-14
"mns27pip1p",23.9305596428379,-9.54567998500066,-14.1506968199464,0.586961183526286,-8.96905008694338,-1.16830766722039,-5.51132157134426,1.61592815163311,-2.60890884611696,-1.6627281391488,3.22881674119709,-1.58304066347717,-1.48367421159791,2.61019591856098,-0.575151975034668,-8.64690675570599,3.72581117353192,-1.51323409093725,-1.84667542984484,1.35082103507356,-0.739172169186313,-7.73706325695479,4.04153613941782,3.70946951465013,0.179934183232566,-5.73870621824082,1.70185741055315,4.50739457907002,-6.60377834832454,-1.72790850265683,1.05989245059099,-3.10130842677157,-2.44753590718769,-1.31752166743351,-1.01058998532283,-1.42243610619321,0.226562607190559,-0.585247361290999,0.275314853348066,1.83777147146069e-14
"mns28pip1p2",9.04574599717177,-4.59357503080525,0.489076241463396,-13.1476197077779,20.7882599175443,4.67356411501281,-3.56908429191722,3.75680751487107,-1.8501323184122,-10.99403779863,-0.763109587909867,3.03639053883099,-13.2844695495559,3.5671944139888,-7.21134970136772,2.39548008491143,3.82147109040078,-3.51682784225499,-1.72352262334321,-3.67552312477477,-2.93027847600954,-3.09271856068489,-3.85594275680949,-2.56434500931509,-1.46286540192824,-2.56474199977128,1.70941068922361,-1.85050746621784,3.14464745043156,-1.47884290788831,-0.728179817032244,0.240059616945924,-1.71336878114734,1.3751284776015,-0.677607266023828,-0.179358827901374,1.09999003391687,-0.142764514629354,-0.180078217505955,7.74228771371899e-15
"mns2pip1p2",9.16602279966094,13.4293407290914,1.88805974947537,1.12797206064703,4.4720546883724,-1.05197767044244,-3.01704229854877,2.64359533696855,-1.29935130835921,-7.13519487047904,-0.670814807185075,-2.741577439069,2.19285988504833,0.488246853514327,5.04322481555628,2.63303817100703,2.40656410097375,0.0739921072155609,1.244126127704,2.47594944266348,0.495285013157183,-2.07773632482353,-0.00237096655282077,-1.63189189221719,-3.62992980474485,0.846128218849188,5.26823372426549,0.999775094170703,1.80175814918846,0.979807571159766,1.15305092365771,1.94556880540443,-0.658006009360819,-6.33741309132829,1.15465466043547,0.567245378705367,-8.29150715893985,0.385657155813835,0.244004651098667,1.735070420672e-14
