"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC11vsPC16",0.355687504452178,2.9
"PC2vsPC11",0.425443685615896,14.3
"PC11vsPC28",0.430545215769358,2.4
"PC11vsPC20",0.526443034484988,2.7
"PC11vsPC21",0.538485310504824,2.6
"PC11vsPC38",0.559181130809419,2.1
"PC4vsPC11",0.586712217567872,9.3
"PC11vsPC23",0.641251726460248,2.5
"PC11vsPC36",0.683749028293349,2.2
"PC11vsPC19",0.709920703930036,2.7
"PC11vsPC13",0.714604118343623,3.1
"PC11vsPC22",0.732212284450549,2.6
"PC9vsPC11",0.735823259421652,4.3
"PC11vsPC33",0.792273113522116,2.3
"PC11vsPC30",0.849835771745926,2.3
"PC11vsPC17",0.862828018422968,2.9
"PC10vsPC11",0.869952641462836,3.9
"PC11vsPC12",0.872183856963238,3.4
"PC1vsPC11",0.872963945574536,36.3
"PC11vsPC35",0.891441033310268,2.2
"PC11vsPC37",0.902034970446681,2.2
"PC11vsPC14",0.923466664411641,3.1
"PC11vsPC34",0.923623752212307,2.2
"PC11vsPC25",0.932826633175167,2.5
"PC7vsPC11",0.995117614742065,4.7
"PC11vsPC27",1.00236166891955,2.4
"PC16vsPC35",1.01907749559707,1.3
"PC8vsPC11",1.02044592643943,4.6
"PC2vsPC35",1.03871946502979,12.7
"PC11vsPC15",1.05695830030303,2.9
"PC3vsPC11",1.06819327733721,10.1
"PC11vsPC39",1.07893126099202,2.1
"PC5vsPC11",1.086589778645,6.4
"PC11vsPC24",1.10156865150342,2.5
"PC6vsPC11",1.10893706572291,5.3
"PC11vsPC29",1.13302530340768,2.3
"PC11vsPC26",1.14541777599248,2.4
"PC11vsPC31",1.15318824683055,2.3
"PC11vsPC32",1.15581715213176,2.3
"PC11vsPC18",1.20574989079213,2.8
"PC21vsPC35",1.21339495758086,1
"PC28vsPC35",1.21967786921074,0.8
"PC2vsPC16",1.24845427339522,13.4
"PC2vsPC10",1.3339600971285,14.4
"PC14vsPC28",1.34044955372957,1.7
"PC2vsPC33",1.37997355659995,12.8
"PC16vsPC19",1.39570847716061,1.8
"PC2vsPC19",1.40133385417901,13.2
"PC28vsPC33",1.4055313097065,0.9
"PC16vsPC28",1.41508138608759,1.5
"PC4vsPC16",1.43008807440318,8.4
"PC19vsPC35",1.46090580995324,1.1
"PC16vsPC27",1.46374095810377,1.5
"PC14vsPC16",1.47056224366052,2.2
"PC4vsPC19",1.47173978926781,8.2
"PC10vsPC28",1.47190822973994,2.5
"PC14vsPC21",1.4973938813281,1.9
"PC19vsPC28",1.52273086941687,1.3
"PC2vsPC14",1.56880217208277,13.6
"PC4vsPC28",1.57994920862689,7.9
"PC2vsPC21",1.5815561788204,13.1
"PC35vsPC37",1.59389870198822,0.6
"PC2vsPC7",1.59591002352067,15.2
"PC21vsPC28",1.6155913063281,1.2
"PC14vsPC35",1.61773074816412,1.5
"PC2vsPC22",1.61919926504913,13.1
"PC16vsPC33",1.62267588240102,1.4
"PC4vsPC35",1.6368566204351,7.7
"PC21vsPC33",1.64369944146084,1.1
"PC35vsPC38",1.64398522969164,0.5
"PC4vsPC14",1.64715061747127,8.6
"PC27vsPC28",1.66678033896056,1
"PC10vsPC16",1.67346753982395,3
"PC1vsPC35",1.68500595558152,34.7
"PC16vsPC22",1.71774002678923,1.7
"PC22vsPC28",1.74508113201362,1.2
"PC21vsPC22",1.74752651481583,1.4
"PC1vsPC28",1.75178934366513,34.9
"PC35vsPC36",1.75794515339693,0.6
"PC28vsPC37",1.7598291401995,0.8
"PC16vsPC37",1.76197554218207,1.3
"PC33vsPC37",1.77338906725847,0.7
"PC19vsPC33",1.79134566894602,1.2
"PC1vsPC16",1.79155587337769,35.4
"PC2vsPC38",1.80167466171079,12.6
"PC13vsPC35",1.81458069839879,1.5
"PC27vsPC35",1.81499222804413,0.8
"PC4vsPC10",1.83909418917166,9.4
"PC4vsPC21",1.84062397764665,8.1
"PC28vsPC38",1.87631172866653,0.7
"PC4vsPC33",1.8828724988598,7.8
"PC14vsPC37",1.88801017769914,1.5
"PC19vsPC21",1.88833931344846,1.5
"PC21vsPC27",1.8919186691296,1.2
"PC2vsPC27",1.89555153431003,12.9
"PC10vsPC21",1.90384552493572,2.7
"PC16vsPC21",1.9099116363315,1.7
"PC2vsPC4",1.91265563123761,19.8
"PC2vsPC37",1.93605879298126,12.7
"PC2vsPC9",1.93881437495261,14.8
"PC28vsPC39",1.94256130751599,0.7
"PC20vsPC35",1.95043490358543,1.1
"PC4vsPC37",1.95868218829361,7.7
"PC2vsPC36",1.97342629553642,12.7
"PC28vsPC36",1.98159597224211,0.8
"PC9vsPC35",1.98470041609933,2.7
"PC1vsPC33",1.99374169608905,34.8
"PC2vsPC39",1.99642410094245,12.6
"PC14vsPC38",2.01143697074896,1.4
"PC14vsPC19",2.01956138141955,2
"PC20vsPC28",2.02676804768693,1.3
"PC2vsPC13",2.03075141034178,13.6
"PC15vsPC16",2.03552610455417,2
"PC10vsPC14",2.04322445875002,3.2
"PC7vsPC28",2.04614384212494,3.3
"PC2vsPC25",2.0508061952792,13
"PC14vsPC20",2.05144451796791,2
"PC14vsPC33",2.05528570386269,1.6
"PC9vsPC14",2.05636813354989,3.6
"PC1vsPC21",2.06183205853801,35.1
"PC3vsPC28",2.0621392392869,8.7
"PC4vsPC27",2.07156306332723,7.9
"PC3vsPC35",2.07231953545544,8.5
"PC10vsPC35",2.07640463170585,2.3
"PC19vsPC22",2.07829392049014,1.5
"PC16vsPC39",2.08073853470878,1.2
"PC2vsPC8",2.0967710134431,15.1
"PC2vsPC28",2.09840311669417,12.9
"PC23vsPC28",2.10247606516923,1.1
"PC2vsPC23",2.10447973209898,13
"PC21vsPC30",2.10709448414158,1.1
"PC2vsPC3",2.1098804823406,20.6
"PC10vsPC19",2.117207932764,2.8
"PC14vsPC22",2.12532738296381,1.9
"PC19vsPC30",2.13035462980445,1.2
"PC14vsPC36",2.13161653561474,1.5
"PC4vsPC38",2.13423048038423,7.6
"PC2vsPC12",2.13731496939895,13.9
"PC4vsPC36",2.14624498657398,7.7
"PC33vsPC35",2.1470839953838,0.7
"PC35vsPC39",2.14749452602389,0.5
"PC2vsPC15",2.14775459995451,13.4
"PC15vsPC21",2.1563329642938,1.7
"PC1vsPC19",2.15637301050466,35.2
"PC15vsPC28",2.15853146179938,1.5
"PC4vsPC22",2.15881656368851,8.1
"PC19vsPC20",2.16033576531894,1.6
"PC25vsPC35",2.1636436863709,0.9
"PC9vsPC28",2.16498449488003,2.9
"PC13vsPC28",2.16536475279284,1.7
"PC21vsPC37",2.16640226524686,1
"PC1vsPC10",2.16665344146751,36.4
"PC22vsPC37",2.17138332642744,1
"PC16vsPC30",2.18685890993271,1.4
"PC21vsPC39",2.18778146091441,0.9
"PC32vsPC35",2.2053715736831,0.7
"PC33vsPC38",2.21076572968943,0.6
"PC3vsPC14",2.21396796973084,9.4
"PC22vsPC35",2.2303693946411,1
"PC13vsPC33",2.23056190405282,1.6
"PC28vsPC30",2.23219258473794,0.9
"PC30vsPC35",2.23248559081387,0.7
"PC2vsPC20",2.23639832746899,13.2
"PC14vsPC27",2.24132233650011,1.7
"PC13vsPC14",2.25028534173401,2.4
"PC1vsPC2",2.25060332678572,46.8
"PC23vsPC35",2.25167605735224,0.9
"PC27vsPC33",2.2557294045666,0.9
"PC25vsPC28",2.25790033300744,1.1
"PC3vsPC16",2.26419599019365,9.2
"PC13vsPC16",2.26705070464469,2.2
"PC12vsPC35",2.26741333591873,1.8
"PC14vsPC30",2.27170492280907,1.6
"PC16vsPC25",2.27954922095216,1.6
"PC10vsPC37",2.2796740300813,2.3
"PC2vsPC30",2.28972662059204,12.8
"PC4vsPC7",2.29148757810483,10.2
"PC16vsPC17",2.29546940953187,2
"PC17vsPC28",2.29796722201218,1.5
"PC1vsPC22",2.29798309585342,35.1
"PC12vsPC28",2.31403871993293,2
"PC34vsPC35",2.31525507530853,0.6
"PC16vsPC20",2.31926207455286,1.8
"PC19vsPC27",2.32251840525364,1.3
"PC1vsPC14",2.32273198126892,35.6
"PC14vsPC25",2.32509447100657,1.8
"PC17vsPC35",2.32697297137038,1.3
"PC33vsPC39",2.34083496538887,0.6
"PC27vsPC38",2.35047855877557,0.7
"PC10vsPC13",2.35091063397101,3.2
"PC13vsPC19",2.35276568384399,2
"PC4vsPC13",2.36800204715696,8.6
"PC13vsPC27",2.3711714024131,1.7
"PC19vsPC37",2.37242687236591,1.1
"PC19vsPC38",2.3736688111915,1
"PC14vsPC39",2.37392160700221,1.4
"PC8vsPC28",2.37674981686525,3.2
"PC28vsPC32",2.38011564612531,0.9
"PC14vsPC23",2.39005828571758,1.8
"PC7vsPC35",2.39036487454013,3.1
"PC21vsPC38",2.39931899196881,0.9
"PC33vsPC36",2.40748098544332,0.7
