"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"mns20pip2p2",-0.360622486308445,-0.200788428247151,0.00282042296361341,-0.2534938980493,0.380613611571684,-0.0158491465239207,0.0334796343558711,-0.0644746420441903,0.0258643146772547,-0.11113949464725,-0.163493471819887,0.0133795672943758,0.0413302933533408,0.0139851424493535,-0.0446580840629741,-0.0480820694116399,-0.0931430583834476,0.00976666129729078,0.121828287822695,0.0174986971310306,0.068617139722291,-0.078311017687775,-0.116208047294294,-0.00375167015740841,0.0415121538446207,0.10065855895193,0.026379285409157,-0.0185500984903097,-0.00661444054882276,-4.70400594290623e-16
"mns20pip4p",-0.127966348639247,-0.233116838382455,-0.0630917387292679,0.104517181539917,-0.06644637784223,-0.0841161255797376,-0.0243402807908689,0.0190261534299455,-0.0249246282725686,0.120901208870034,-0.00677706104194979,0.0447061256397537,-0.0477540629586546,0.0259454226404229,-0.153112606969984,-0.047471403187406,0.0105474813583238,-0.0740444522495036,0.0321691285697935,-0.0118837008927888,0.0330414491822254,-0.00787360049604544,0.0620018705220375,0.0103579559235238,0.0294603514567884,-0.0135579788752664,-0.112001955438776,-0.138274977056591,-0.059335186622445,-2.27842968965461e-16
"mns22pip2p",0.177668283128527,0.183797202343733,-0.269473623617701,-0.079780272252264,-0.147925283936972,-0.118620579616983,-0.0782767851071219,-0.101309107782033,-0.034672327677289,-0.175506441340248,0.129145120634668,-0.216961201552182,-0.1343405477616,0.0238335194142613,-0.136946152676466,0.149433831392567,-0.0629513554808551,0.0228059741623775,0.084653799206767,0.0322807868805714,0.0516781714237572,-0.0342348804558232,0.0850066657833448,-0.0185033982536618,-0.0294045542151676,0.0327369935320986,-0.000818281317570225,0.0443131152261441,-0.0112473760071236,-2.31324697895149e-17
"mns24pip4p",-0.0163609136049066,0.430771501314594,-0.278932105431291,0.0109979737372763,-0.0183788857054059,0.13385151035019,-0.0465456511426408,-0.0138055677639297,0.0324247283723405,0.0366070088290635,-0.00839881029545098,-0.0184248508598829,0.0248956198544039,-0.028436178153021,-0.050484627335886,-0.000484164636554926,0.0482744576683146,-0.0324219298513248,0.0194134940124402,0.0387276373574635,-0.065520843814297,0.0373578163262634,0.0705543362388306,0.0496283217776014,0.1652810768321,0.00472664938006737,0.113767868653273,-0.0468772312157451,0.0413847811063835,-3.648255607119e-17
"mns9pip4p",0.493081278290648,0.0651131554542161,0.0341554000254414,-0.19880416501936,-0.167888149462274,-0.0916010936755243,0.17737856708355,0.18837125117748,0.073155367022497,-0.00155774657585846,-0.0341848035168012,0.0176150674453873,0.136845892339864,-0.106512864775933,0.108682543607925,-0.0772383279369141,0.088425370097057,0.0794498334725462,0.156143445451769,0.10284733248708,-0.0150657338061552,-0.0397818947155198,0.0995246402908731,-0.0290157686981035,-0.0324881681713225,0.0171914120136269,-0.0179116605914769,-0.00437427341196168,-0.00968199400161966,5.96052849818115e-17
"mnsC50pip2p",-0.0564128141988368,0.345599750281087,0.00943438117756761,0.253444078575515,0.188502629054354,0.0801925594700688,-0.0447933575204914,-0.0146626961441956,0.101263317404514,-0.0242871519158111,0.0526930363218795,-0.0102692091630938,-0.0940121241913014,-0.0682926199862918,-0.084116573306681,-0.118577052049011,0.165487134623134,0.22852078720814,-0.0553034690308759,-0.024935192426343,0.0854239514834263,-0.035025578412783,-0.029561219055175,0.0385571833849319,-0.0150850498195015,-0.00815152458101723,-0.0151527425107869,0.0108627672573273,-0.00522623975920001,-2.07224069446923e-16
"mnsC51pip4p2",-0.423795210503051,-0.124489075364835,0.0875530610058499,-0.29743348098861,0.171347027198808,0.0157048563160652,0.156172834576939,0.0134440968598812,0.0113163511339013,-0.0232996140311223,0.0561945564319143,-0.0286988735700264,-0.0754874250415155,0.00844460315078443,0.0320199490470157,-0.094458305001247,-0.0373154497686123,-0.0532436033093274,0.0543225077168688,-0.161034082872942,-0.000835678129351053,-0.0593504925418663,0.0958912205846475,0.0480306299736573,-0.00379556436788051,-0.139579664911507,0.0268030498753141,0.035716802403515,0.00311003439899797,-3.66752560666903e-16
"mnsC52pip2p2",-0.494531522308907,-0.463269655019154,0.084606880085747,0.0683237320944895,-0.237421744478777,0.480052141628684,0.0212671666584431,0.00244527797284236,0.229463518651769,-0.123054686276022,0.0736806980036399,-0.063123401460198,-0.05099117124682,-0.0953034409021252,0.075896985207065,0.041677754986317,0.00187077529920742,-0.0413500888686758,-0.0133981899245878,0.034448992814297,-0.00650072905256286,-0.0353700786728995,-0.0269667009513874,-0.0311985941849863,0.0394262064194589,0.0111681659529379,-0.0448725885996301,0.00683869359908973,-0.00950903638496517,-1.99259842160364e-16
"mnsC53pip2p2",-0.266021833380646,-0.414237277485584,-0.0582026338037991,-0.147006923649654,-0.137036767842645,0.0425284604436819,0.0305899982049784,-0.00831767023952309,-0.045778243883144,-0.0039882440194936,0.0524905331106905,-0.136298407383917,0.133692156959755,0.116073362547253,-0.0861262831736731,-0.0232076642347021,0.0698326653132476,0.0677781536006235,-0.017145586373179,-0.00969122746813898,0.02327385958025,0.0695652026415102,-0.0548275356768839,-0.092769699594889,-0.0749354681787637,-0.0531852659478852,0.0754682107268708,-0.0684068398541828,0.0564799427802322,-3.02900676004032e-16
"mnsJ1pip4p",0.23872143414602,-0.450543219741175,-0.265439570485572,0.219795004059774,0.124795944179212,-0.171362304553696,-0.137186759292478,-0.0411977717285417,0.0890550980152371,0.107788720504634,-0.0245511864136391,0.0567086543640592,-0.0799779718304716,0.0251750826866382,0.0103651511150652,0.0824478166290244,0.0841308727551813,0.0346235124968303,0.0914626440243129,0.00582978194097785,-0.161477520368295,-0.0490905602333295,-0.0804973797716292,-0.0574602504950943,0.0257477354393917,-0.0708619880964156,0.0145864974159991,0.0367799105948606,-0.0305016100698084,2.88440129528507e-17
"mns12pip4p",-0.0781489888608258,0.346805734282868,-0.270694644323337,-0.0731075605975452,-0.0859089444873076,0.135227818017253,-0.0669467270307509,0.0445939921870334,-0.0151840845003057,0.0915248432779442,0.0214025104659281,-0.00541345462066813,0.11711289701779,0.162854864406396,0.104969069181311,0.0864852852590408,-0.14577913006831,0.142499489065919,0.0359795980656021,0.00779626507551819,-0.00642168850604618,-0.00393021079657655,-0.0652830034577318,0.0970212226669841,0.00218867832767051,-0.0591970461368953,-0.0666363351328732,-0.0158829140404314,-0.00344796118412758,-1.9158974706474e-16
"mns15pip2p",0.376410273311574,0.0995212091833787,0.583539987466823,-0.0338310663305579,-0.00235704486487987,0.0272215525212342,-0.16387596314742,-0.504787324941164,0.0451028486051505,0.167535782539339,0.0224627436889008,-0.0531729177933489,0.0838249299899897,-0.00680903501762042,0.054949900523688,-0.0222710727738273,0.00641209131019884,-0.0315624951872947,0.0237657962595892,0.0325767390077963,0.0178745076010876,-0.0117191887147486,0.0244497653983637,0.00793345813675191,-0.014817869589117,-0.0115581747540319,0.00318892181073839,-0.0014353959293277,-0.00876432442772545,-2.012618045312e-16
