"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC16vsPC25",1.30904917298142,1.7
"PC10vsPC25",1.31066001998464,3
"PC2vsPC27",1.31274836156013,15
"PC9vsPC24",1.3150359957223,3.3
"PC27vsPC28",1.31738082879796,0.7
"PC2vsPC24",1.3185130177405,15.1
"PC11vsPC15",1.32326520656124,3.3
"PC12vsPC15",1.32336521918332,3.1
"PC1vsPC18",1.32348967740257,29.6
"PC4vsPC22",1.32875189179854,7.9
"PC1vsPC2",1.33255172568313,43.2
"PC10vsPC15",1.33553384204322,3.7
"PC2vsPC23",1.3366903308678,15.3
"PC24vsPC25",1.33842675404223,1
"PC13vsPC25",1.36112879019007,2
"PC11vsPC22",1.36673892259139,2.8
"PC6vsPC9",1.36696617786615,6.7
"PC2vsPC28",1.37054815527049,14.9
"PC23vsPC25",1.3722103723635,1.2
"PC11vsPC26",1.37471142770621,2.6
"PC1vsPC27",1.37821932079118,29
"PC4vsPC25",1.37860021699151,7.7
"PC1vsPC17",1.38236010948926,29.7
"PC2vsPC7",1.38900031670951,18.1
"PC24vsPC27",1.39493940880427,0.9
"PC15vsPC28",1.40016655108187,1.5
"PC4vsPC15",1.41760511403839,8.4
"PC13vsPC22",1.42624852096,2.2
"PC7vsPC15",1.43384100121318,4.7
"PC1vsPC12",1.43390128844976,30.5
"PC10vsPC27",1.43571163948163,2.9
"PC22vsPC23",1.4362018061803,1.4
"PC17vsPC18",1.44075126871077,2.1
"PC9vsPC10",1.44095059746841,5.3
"PC2vsPC6",1.44134308822475,18.5
"PC13vsPC15",1.44859569418697,2.7
"PC1vsPC24",1.45866052775049,29.1
"PC7vsPC12",1.46334902592207,5.4
"PC11vsPC12",1.47076189450066,4
"PC20vsPC25",1.47098540343798,1.3
"PC5vsPC25",1.47203834016141,5.7
"PC12vsPC17",1.47370183995786,3
"PC21vsPC25",1.47829602732097,1.3
"PC22vsPC29",1.47830960126717,1
"PC11vsPC27",1.47834547624095,2.5
"PC11vsPC18",1.47916979389003,3.1
"PC6vsPC27",1.4816927319565,4.3
"PC12vsPC18",1.48638377160091,2.9
"PC7vsPC17",1.48715779195162,4.6
"PC18vsPC28",1.4909923832647,1.3
"PC21vsPC22",1.49251314122717,1.5
"PC9vsPC13",1.49731930559566,4.3
"PC2vsPC11",1.50005910302902,16.7
"PC2vsPC4",1.50608689388592,21.8
"PC7vsPC27",1.50953691037652,3.9
"PC10vsPC17",1.51256885893296,3.6
"PC2vsPC13",1.51263373686748,16.1
"PC9vsPC29",1.51465159323479,3.1
"PC7vsPC18",1.51655064605093,4.5
"PC8vsPC25",1.52338469948285,3.6
"PC16vsPC22",1.52400365377873,1.9
"PC11vsPC17",1.52679025000862,3.2
"PC7vsPC26",1.52949097564348,4
"PC13vsPC27",1.5333298493276,1.9
"PC12vsPC24",1.53755682035903,2.4
"PC11vsPC24",1.53760654541417,2.6
"PC9vsPC23",1.54119103710205,3.5
"PC9vsPC16",1.54175105953785,4
"PC24vsPC26",1.54406954226954,1
"PC15vsPC23",1.54562512610946,1.9
"PC4vsPC9",1.5456670363511,10
"PC18vsPC24",1.55993545412106,1.5
"PC15vsPC29",1.56215837121969,1.5
"PC9vsPC21",1.57603182196651,3.6
"PC20vsPC22",1.57972709271888,1.5
"PC1vsPC28",1.58176113007,28.9
"PC1vsPC11",1.59532177965457,30.7
"PC23vsPC26",1.60405666698307,1.2
"PC6vsPC26",1.60453306305643,4.4
"PC4vsPC27",1.60521390904212,7.6
"PC15vsPC16",1.60602196896602,2.4
"PC10vsPC26",1.60632081486305,3
"PC11vsPC28",1.60830434600183,2.4
"PC12vsPC28",1.61141124627672,2.2
"PC5vsPC22",1.6156417713851,5.9
"PC6vsPC17",1.61657505540538,5
"PC8vsPC22",1.62915969374211,3.8
"PC1vsPC10",1.63290812995792,31.1
"PC23vsPC27",1.63868769212409,1.1
"PC2vsPC21",1.64277221712983,15.4
"PC15vsPC21",1.64409136154074,2
"PC5vsPC15",1.6454438814623,6.4
"PC7vsPC28",1.64591760175049,3.8
"PC5vsPC9",1.64617732342018,8
"PC17vsPC28",1.64933098948226,1.4
"PC9vsPC20",1.65044356221665,3.6
"PC2vsPC16",1.65048713918067,15.8
"PC26vsPC29",1.65122776591086,0.8
"PC10vsPC11",1.65631028019625,4.6
"PC1vsPC7",1.65818185569997,32.1
"PC24vsPC28",1.66209872813209,0.8
"PC10vsPC18",1.66612363740723,3.5
"PC4vsPC26",1.66949069440421,7.7
"PC15vsPC20",1.67116174459817,2
"PC10vsPC28",1.67269672016114,2.8
"PC4vsPC17",1.6732961366204,8.3
"PC16vsPC27",1.67379723250695,1.6
"PC2vsPC29",1.67466009659727,14.9
"PC8vsPC9",1.67521974061629,5.9
"PC13vsPC26",1.67640540291794,2
"PC6vsPC18",1.6780798470111,4.9
"PC16vsPC26",1.68971420988535,1.7
"PC27vsPC29",1.69037221171192,0.7
"PC7vsPC11",1.69533821925145,5.6
"PC4vsPC7",1.69667093256664,10.7
"PC12vsPC29",1.69986844115721,2.2
