cell,cort.pg.ml
A4,11137.23919
B4,8159.102924
C4,5697.931918
D4,7067.606301
E4,1602.439733
F4,2350.184032
G4,744.9744396
H4,2985.739922
A5,4174.285224
B5,3530.344181
C5,8159.102924
D5,7067.606301
E5,19781.43513
F5,11966.37416
G5,15202.41843
H5,21254.10528
A6,1323.188207
B6,710.1520603
C6,5.78035168
D6,3.941251015
E6,64.84109074
F6,52.27514165
G6,5835.959457
H6,8978.88591
A7,1564.540084
B7,1066.759522
C7,10120.39597
D7,9196.39176
E7,9196.39176
F7,6122.126328
G7,1016.895926
H7,1355.241313
A8,6270.429615
B8,3793.168008
C8,3793.168008
D8,5055.244947
E8,3058.066924
F8,5431.593187
G8,1806.162232
H8,5697.931918
A9,9881.036301
B9,9196.39176
C9,2240.329256
D9,2846.177324
E9,4.660142194
F9,24.89143279
G9,5431.593187
H9,7777.721549
A10,924.0521156
B10,902.1971593
C10,185.8791891
D10,495.9366401
E10,157.2047617
F10,112.4438096
G10,1041.529362
H10,1527.536808
A11,18.67711407
B11,23.16673681
C11,31.6227766
D11,29.4316743
E11,1421.69571
F11,1388.070877
G11,104.6527198
H11,157.2047617
A12,20.55369051
B12,18.23537761
C12,839.6850561
D12,1456.135075
E12,241.8665911
F12,139.4731612
G12,2035.784525
H12,3058.066924
