"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC9vsPC21",1.21114512964542,3.2
"PC3vsPC12",1.22305440998122,10.4
"PC4vsPC20",1.22822327533029,8.2
"PC3vsPC20",1.23301226601067,9.6
"PC12vsPC21",1.23901280168011,2.2
"PC12vsPC29",1.24150283103977,1.8
"PC12vsPC20",1.24467146401979,2.2
"PC14vsPC18",1.24510516124376,2.1
"PC6vsPC18",1.28336703128885,4.7
"PC19vsPC26",1.28420898738648,1.3
"PC8vsPC12",1.28662261528251,4.4
"PC1vsPC20",1.28779792684188,37.7
"PC3vsPC8",1.28890453830755,11.8
"PC20vsPC28",1.30126294406093,1.1
"PC5vsPC18",1.3064141972266,5.4
"PC9vsPC22",1.31043301876629,3.1
"PC9vsPC16",1.31170534461931,3.4
"PC4vsPC26",1.31329585205949,8
"PC9vsPC11",1.31583390828751,4.1
"PC21vsPC29",1.32421640150607,1
"PC16vsPC20",1.32564343988903,1.6
"PC12vsPC28",1.33187191555567,1.9
"PC1vsPC29",1.3325114024856,37.3
"PC12vsPC16",1.3340246652989,2.4
"PC25vsPC26",1.35196131831808,1
"PC20vsPC21",1.35964209950461,1.4
"PC20vsPC24",1.3597362676039,1.2
"PC9vsPC27",1.36391055027354,2.9
"PC15vsPC20",1.38256670683163,1.8
"PC12vsPC27",1.3837681083078,1.9
"PC20vsPC22",1.3849939945716,1.3
"PC3vsPC22",1.3904383819751,9.5
"PC1vsPC12",1.3926013741829,38.5
"PC3vsPC16",1.3949529753902,9.8
"PC8vsPC26",1.39561631694812,3.4
"PC9vsPC28",1.40133201941064,2.9
"PC8vsPC16",1.40213061966104,3.8
"PC16vsPC29",1.40224366717669,1.2
"PC14vsPC20",1.40585885223515,2
"PC22vsPC29",1.4068886224152,0.9
"PC7vsPC18",1.40796887042343,4
"PC1vsPC21",1.41009136520795,37.7
"PC9vsPC24",1.41358585957968,3
"PC1vsPC8",1.41612436917406,39.9
"PC18vsPC23",1.42093406290197,1.4
"PC3vsPC28",1.42444899002291,9.3
"PC8vsPC21",1.42552829009762,3.6
"PC14vsPC26",1.42729618527456,1.8
"PC3vsPC21",1.43312424606007,9.6
