"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"mns13pip3p_again",-0.323452731610818,-0.300110167715937,0.216727445233441,-0.0228117142646613,0.0300511368084266,-0.118403447331478,0.219850305256146,-0.112734132694072,0.00567896312998446,-0.0683166467295204,0.0207902862196383,-0.228248186029537,0.0313940297121385,0.0769184374236818,-0.23259735241379,0.0789342998774431,0.130616472914028,-0.0660312054029818,-0.0474261083388532,-0.0320667187800474,-0.00863973502048475,-0.0365681374479918,0.103523805858485,0.00113169473245325,0.12463973373267,-0.0233484832874574,-0.0678863484937484,-0.0444348950746012,0.00513635366343856,0.0171513856783192,0.00436434407031634,0.0126547122947644,0.00831364338570346,0.00689835906139849,-0.00911712578645705,-0.0125031880177194,-0.00767375287954156,-0.00444392945353379,0.0030005639152662,2.97223014158587e-16
"mns1pip3p",0.592102662194263,-0.0917093943171157,0.148803081035596,-0.331696538439065,0.339097106042097,0.0498680149380716,-0.0625321814806692,0.10616889170052,0.00861561934235426,0.0350393268827766,0.0552569419808972,-0.0167381957950544,0.089171890878157,-0.0761920011752584,-0.058713903730252,-0.0144598733237854,-0.0899764062943826,0.0474067733623648,-0.124431219228464,-0.0664530921551117,-0.00166304596124824,-0.0617803816439281,-0.0102030436428582,0.00901110995875191,0.0487838999105205,-0.00761271168944208,0.0580728191654913,-0.0240861962516028,0.0748592590199324,-0.0917820721449013,0.0500135023348172,-0.000922424602206497,0.0254068362573253,0.00210230600562052,0.069267273757925,0.0517895032657957,-0.0138200927128018,-0.01320133527286,-0.043258190808035,-1.35197046293627e-18
"mns20pip2p2",0.324448985704041,0.149890213219867,0.225694491365464,0.171748956930075,-0.363283489552213,-0.0636804005775077,-0.0155339902309995,-0.000736001102101517,-0.0642417070108731,-0.110583583629938,0.0413423736408043,0.110509584706878,0.126242410553491,-0.0372079412229161,-0.0614159885566393,0.0368315085297132,0.0270630142003593,0.00203210621684511,0.0965490552315977,-0.0229758254200844,0.0238648437264492,-0.094101470487897,-0.0726246435086965,-0.0612008931040685,0.0554375245567739,0.0523670871178268,0.131326185074251,-0.10186030428662,-0.0175571328702328,0.0798701848730962,0.0153692494637933,-0.0537385889383191,0.00887382902079595,-0.00417321973441342,0.00573611752697412,0.0287424245093065,-0.0101916071763045,0.0155925540548053,0.00432190286917904,1.12800224618802e-16
"mns20pip4p",0.0776697972062371,0.20608007006632,-0.0512566342617086,-0.0556186790737562,0.0678526058375725,0.0882989590299949,0.0193137538923412,-0.0212950647286518,0.0117304573184795,0.0467606943910428,-0.0756748085179171,0.0337194842424545,0.0026266949538316,0.0164935809710724,-0.0167056838911175,0.119819931712258,-0.0213252918172375,-0.0515136216385858,0.061007465234641,0.109181186436162,-0.0952914510779294,-0.0527912078113829,-0.0118658816553693,0.00173137479021436,-0.0407258488781332,0.0183041936506447,-0.0704072469360213,-0.00712869790750976,-0.0111117662381183,-0.0249906255616389,0.0178264731351895,-0.0127822359254143,-0.0482562781601126,0.019306648775318,0.0781245403584166,0.00982437090648243,-0.132479319988423,0.0330659954844318,0.0552096332692852,9.16464237940735e-17
"mns22pip2p",-0.218134339053231,-0.178313333572114,-0.183687867460697,0.230633476558909,0.155296763438223,-0.00504218071579183,0.0814278962671847,-0.112781822949471,-0.124636005838769,-0.082424785215794,0.230189925318775,0.036362460556673,-0.0906157972935539,-0.0642416059422572,0.116566273921932,0.214053151060549,0.0693046377213002,0.0389096453161719,-0.0796117366805811,-0.0509310721420341,-0.0317156270888758,-0.0554275270848477,0.0783323779773361,-0.0261687460747389,-0.122639143897605,0.0860359882821325,0.0290251619863211,-0.0322378340999284,0.0247073276258414,-0.000855219804375616,0.00540211555925402,0.0172175661912909,-0.00111571568458596,-0.0401087401722973,0.00987652274947472,-0.0223249769167282,0.0185215731305163,0.020035801429591,-0.0134408972211255,3.09322879810114e-16
"mns24pip4p",-0.0202604221153244,-0.394429683830967,-0.331081749252146,0.202038514545382,0.00108086312240426,-0.149929562850653,-0.0739715175833629,-0.0155116955287575,0.00198388316482485,0.0411878274490026,-0.0266119344948868,0.0239032011446876,0.0181509229210481,0.00618667890445377,-0.0211518451832893,-0.0058319776084998,0.0294598915019473,-0.00598297817443407,-0.000390780525575972,0.0619780629368289,-0.0460827617501857,0.0447226139057701,-0.0201945700748303,-0.072075105776056,-0.0516914384880632,0.00511874311433723,-0.0585748174011521,-0.0507721108376632,0.0561905196146716,-0.0395549345620916,-0.0930020997880972,-0.0698300795203336,0.107064535180582,0.0755943844743941,-0.0239003591743041,0.0820316830309109,0.0107510723627062,-0.00726393391743807,0.00625360875252667,2.57586107391822e-16
"mns26pip1p",-0.685999407327285,0.135959353271921,-0.296172039037077,0.27036938717357,0.123813348991574,0.089373518615134,-0.00383791442396658,0.215192986173915,-0.180369690916606,-0.0833214811016795,0.0997262817693622,0.278108497247782,0.125329389183529,-0.10771048824254,-0.0893341394559447,-0.0898877681910699,-0.0170900797820802,-0.0847424086695303,0.00626856958080022,-0.0870908742455688,0.0166032832557772,0.0717046363990475,0.0295441585893493,0.0128232559445161,0.0506820050992176,-0.0165493531114776,-0.0752528035746014,-0.0137493254903589,-0.0099717796060642,0.00363328067039746,0.0265581849123267,0.0377569154924166,-0.00634277378027159,0.0181817020164343,0.00478899935121187,-0.0172994276567083,-0.0108811384999511,-0.00490194829429683,0.00332394179719097,2.11280510231324e-16
"mns27pip1p",0.422675511713122,-0.332024253732706,-0.138370588269222,-0.177360177826102,0.0527040579508308,0.0429044073251141,-0.00452136672792413,-0.0270940567969851,0.0545485417395677,-0.0939730028299018,0.0634205031943216,0.0765749491763384,-0.112959526353564,0.0118760341659103,0.0282295782596487,-0.0564675685064767,0.0161678691017857,-0.0662680202026796,0.0810523600997024,0.0917243451067057,0.0322615021902346,-0.020050267918022,0.0928493565364851,-0.188450378423388,0.0520918503764864,-0.0255240199393938,0.0363076960467982,0.0338565016059914,-0.121300699268287,-0.0380087489850776,-0.0253333506036089,0.0568911607958141,-0.0128534074055484,0.0290752052542228,0.020994114111886,-0.00150504008091546,-0.00135559388367183,0.00443895457923691,-0.0464180564847013,1.32291723284545e-16
"mns28pip1p2",0.0701057219479282,-0.102259167497933,-0.0522947394483686,0.234070314197115,-0.286020270048703,-0.0489368804016585,0.156094743677333,-0.0105714331824612,0.0488232716951261,0.208635841497733,0.268631985413792,-0.0993783968701226,-0.0190923708918323,-0.103468534530332,0.136564711178861,-0.00455123507635505,-0.0488647067674344,-0.0908027845921933,-0.0675863460042607,0.00422568697785244,0.100145205212298,-0.00605896474589118,-0.0300535888423296,0.0176362293535029,0.0531534674887099,-0.0429544463109821,-0.0517416848081307,0.0542009473075778,-0.0133164779895884,0.0191344318331993,0.0232349590891781,-0.0464943299366074,-0.0616887252779076,0.0118323659631531,0.0110718631060826,0.0655607275441788,-0.00610015793315659,-0.0126205747941312,-0.00105761963763088,2.00170826095136e-16
"mns2pip1p2",0.143676608546863,0.2927826061861,0.014862442238404,-0.0651387045060124,-0.014780448518617,-0.0115690686120244,0.151432249102715,0.0492819294167305,0.0141711062408942,0.0563019867385187,0.021506626680186,0.0317752203802218,-0.0541501039436735,0.137155078246329,0.0337890891970496,0.0069267051724329,0.0846828736157115,0.0106410458463269,0.0193175053548785,0.0427139868275376,-0.000782780928425066,0.140740468659353,-0.0487191324059881,0.00795290274761466,0.00648356233074068,-0.0494358486020726,0.00457553668131657,-0.0173830783012444,0.081424656720791,0.0425420996129488,0.0628673709500409,0.025659306008111,0.00875208189068435,0.0515013181803407,0.0356967206023466,-0.00556891316513945,0.0379676397827324,0.110966415111129,-0.0425565065485764,-1.09953346883081e-17
