"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC6vsPC18",0.564655643720886,5.1
"PC6vsPC23",0.75150995477256,4.8
"PC2vsPC6",0.765138471978293,19.4
"PC18vsPC35",0.867236556413267,1.3
"PC6vsPC15",0.907244792118562,5.4
"PC23vsPC35",0.950700724134089,1
"PC6vsPC31",1.01667373163641,4.5
"PC2vsPC23",1.03796158888761,16
"PC2vsPC35",1.04553735538724,15.6
"PC6vsPC39",1.11720746061689,4.3
"PC23vsPC25",1.12653468561563,1.3
"PC6vsPC28",1.13099829209107,4.6
"PC3vsPC6",1.15838542354621,13.1
"PC4vsPC6",1.1711637936605,13
"PC18vsPC23",1.17326051539381,1.7
"PC6vsPC26",1.17765201241013,4.7
"PC6vsPC19",1.17820083618105,5
"PC31vsPC35",1.27586390969007,0.7
"PC13vsPC23",1.27693670198566,2.2
"PC2vsPC10",1.27708113080332,17.4
"PC15vsPC35",1.32946189705194,1.6
"PC6vsPC25",1.33297669210917,4.7
"PC6vsPC37",1.33423423774396,4.3
"PC15vsPC37",1.33603147518074,1.5
"PC18vsPC25",1.33852027124341,1.6
"PC6vsPC16",1.345280921162,5.3
"PC2vsPC37",1.36318236642283,15.5
"PC6vsPC10",1.36469817883781,6.2
"PC15vsPC23",1.37229746885223,2
"PC13vsPC18",1.38368277822527,2.5
"PC15vsPC18",1.3959423215955,2.3
"PC15vsPC25",1.40686466401932,1.9
"PC25vsPC35",1.43120250088629,0.9
"PC6vsPC36",1.4329111045638,4.3
"PC23vsPC37",1.43908351401912,0.9
"PC28vsPC35",1.45332839607649,0.8
"PC10vsPC18",1.47830512551385,3.1
"PC18vsPC37",1.4810435165453,1.2
"PC23vsPC31",1.50842710991051,1.1
"PC16vsPC35",1.52184374286295,1.5
"PC3vsPC23",1.52855251778127,9.7
"PC2vsPC31",1.53408897976533,15.7
"PC15vsPC31",1.53431627507857,1.7
"PC35vsPC37",1.54292538678083,0.5
"PC2vsPC25",1.55358466738247,15.9
"PC35vsPC39",1.56937357845237,0.5
"PC15vsPC39",1.57384449157905,1.5
"PC23vsPC39",1.57534167927561,0.9
"PC6vsPC7",1.58411672304862,7.3
"PC2vsPC13",1.59244768494998,16.8
"PC13vsPC15",1.60511167228581,2.8
"PC10vsPC15",1.61006216636264,3.4
"PC6vsPC24",1.61341543852574,4.8
"PC6vsPC35",1.6171591700734,4.4
"PC19vsPC35",1.62104285648632,1.2
"PC6vsPC13",1.62455084093822,5.6
"PC3vsPC35",1.62547589524887,9.3
"PC18vsPC39",1.62601245570141,1.2
"PC1vsPC23",1.62930330074816,26.3
"PC18vsPC31",1.65278138403051,1.4
"PC6vsPC22",1.65723417018369,4.9
"PC1vsPC6",1.66435316467066,29.7
"PC6vsPC8",1.67311866381154,6.9
"PC4vsPC35",1.67793894879431,9.2
"PC6vsPC21",1.67880311158236,4.9
"PC3vsPC15",1.68186759420433,10.3
"PC26vsPC35",1.69009257261284,0.9
"PC10vsPC25",1.69706885025177,2.7
"PC18vsPC22",1.71418347217039,1.8
"PC2vsPC18",1.71692945156122,16.3
"PC13vsPC35",1.72487993703116,1.8
"PC2vsPC39",1.73779228375787,15.5
"PC22vsPC23",1.74537641625935,1.5
"PC2vsPC15",1.74701660635063,16.6
"PC2vsPC21",1.76029704385351,16.1
"PC6vsPC17",1.77288785531822,5.2
"PC19vsPC23",1.77513882404213,1.6
"PC16vsPC18",1.78138622583954,2.2
"PC11vsPC23",1.78646339352854,2.8
"PC6vsPC29",1.79100294275032,4.5
"PC6vsPC33",1.79134558457145,4.4
"PC10vsPC13",1.79969139346536,3.6
"PC15vsPC36",1.80283957448251,1.5
"PC25vsPC31",1.8069579185635,1
"PC25vsPC26",1.81118789404275,1.2
"PC6vsPC32",1.81141733820835,4.5
"PC10vsPC35",1.81335432423681,2.4
"PC13vsPC39",1.81388342298195,1.7
"PC23vsPC36",1.8209525367826,0.9
"PC2vsPC16",1.82505506492258,16.5
"PC2vsPC22",1.83064072598231,16.1
"PC3vsPC25",1.83418085678612,9.6
"PC18vsPC21",1.83504750567663,1.8
"PC15vsPC28",1.84108805121225,1.8
"PC15vsPC26",1.85748451737622,1.9
"PC15vsPC16",1.86696394386923,2.5
"PC1vsPC18",1.87152470414005,26.6
"PC6vsPC20",1.87851803326228,5
"PC10vsPC23",1.88183128634114,2.8
