"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC13vsPC31",1.88333846576168,1.9
"PC15vsPC22",1.88532307074256,2.1
"PC23vsPC28",1.8877030405302,1.2
"PC6vsPC11",1.89639895610315,6.2
"PC6vsPC27",1.89802774684265,4.6
"PC3vsPC18",1.90008982075591,10
"PC13vsPC22",1.91480959268562,2.3
"PC35vsPC36",1.91833948485288,0.5
"PC25vsPC28",1.92869214865593,1.1
"PC16vsPC23",1.93305132258593,1.9
"PC23vsPC33",1.94729329339844,1
"PC19vsPC37",1.94926259017375,1.1
"PC6vsPC12",1.95803420606886,5.9
"PC23vsPC32",1.95881920387051,1.1
"PC18vsPC36",1.96201906064001,1.2
"PC18vsPC33",1.9631642830042,1.3
"PC12vsPC18",1.96870448243082,2.8
"PC22vsPC35",1.97724457092469,1.1
"PC13vsPC28",1.98011066452738,2
"PC6vsPC38",1.98083783090686,4.3
"PC4vsPC23",1.98349959591606,9.6
"PC8vsPC18",1.98352223196006,3.8
"PC17vsPC35",1.98959280875783,1.4
"PC5vsPC6",1.99821977404105,9.1
"PC22vsPC39",2.00282287908029,1
"PC32vsPC35",2.00991593338053,0.7
"PC2vsPC33",2.01030859854323,15.6
"PC19vsPC25",2.01441989480023,1.5
"PC25vsPC39",2.02495428257356,0.8
"PC10vsPC37",2.03042601564555,2.3
"PC6vsPC9",2.03143776613494,6.6
"PC18vsPC28",2.03680656386949,1.5
"PC12vsPC23",2.04567048755986,2.5
"PC2vsPC36",2.05256400241518,15.5
"PC6vsPC34",2.05570807182329,4.4
"PC6vsPC30",2.0558820348467,4.5
"PC20vsPC23",2.06783224414026,1.6
"PC6vsPC14",2.07051024748196,5.5
"PC23vsPC38",2.07254658715123,0.9
"PC21vsPC25",2.07613791271923,1.4
"PC21vsPC23",2.0835947794219,1.5
"PC3vsPC13",2.09072054239489,10.5
"PC23vsPC27",2.09846140455757,1.2
"PC2vsPC28",2.1009133942916,15.8
"PC1vsPC39",2.10788423294276,25.8
"PC23vsPC26",2.11236236645045,1.3
"PC21vsPC35",2.12134268981045,1.1
"PC25vsPC36",2.12152469734156,0.8
"PC1vsPC15",2.12183063827294,26.9
"PC18vsPC24",2.12446432462067,1.7
"PC31vsPC37",2.12465004091376,0.6
"PC8vsPC23",2.12528295882653,3.5
"PC1vsPC35",2.12596103240959,25.9
"PC11vsPC15",2.13147893184098,3.4
"PC28vsPC37",2.13236754511992,0.7
"PC19vsPC39",2.13318884429233,1.1
"PC11vsPC18",2.14301037168896,3.1
"PC15vsPC21",2.14432215301638,2.1
"PC13vsPC26",2.14703693752786,2.1
"PC18vsPC19",2.15602979728127,1.9
"PC2vsPC3",2.16437001265708,24.3
"PC3vsPC37",2.1659932995328,9.2
"PC13vsPC19",2.16608112904269,2.4
"PC15vsPC19",2.17004292896127,2.2
"PC18vsPC34",2.17562401040954,1.3
"PC25vsPC37",2.17842934348337,0.8
"PC2vsPC19",2.18347262184889,16.2
"PC2vsPC12",2.18523968886955,17.1
"PC18vsPC38",2.18625009292901,1.2
"PC22vsPC25",2.18887864893373,1.4
"PC13vsPC25",2.19002812943103,2.1
"PC3vsPC10",2.19360817383626,11.1
"PC15vsPC32",2.19448949683004,1.7
"PC17vsPC23",2.19595399033007,1.8
"PC26vsPC37",2.19826960949728,0.8
"PC18vsPC26",2.20085630218007,1.6
"PC25vsPC33",2.20220935447125,0.9
"PC7vsPC35",2.20350511941954,3.5
"PC15vsPC33",2.20973265973601,1.6
"PC24vsPC35",2.21322837620836,1
"PC7vsPC23",2.21575837333764,3.9
"PC18vsPC20",2.22053520167924,1.9
"PC2vsPC17",2.22477335380344,16.4
"PC1vsPC2",2.22762870801883,40.9
"PC16vsPC25",2.23290147762118,1.8
"PC18vsPC27",2.23665549524335,1.5
"PC33vsPC35",2.23895339322341,0.6
"PC9vsPC18",2.23915001388246,3.5
"PC37vsPC39",2.24177348201851,0.4
"PC22vsPC31",2.24660284014123,1.2
"PC8vsPC15",2.25066994562725,4.1
"PC2vsPC32",2.25200841659315,15.7
"PC29vsPC35",2.25641980918119,0.7
"PC17vsPC18",2.25648834329545,2.1
"PC18vsPC32",2.25769011638096,1.4
"PC7vsPC15",2.2599768575102,4.5
"PC1vsPC25",2.26991752298383,26.2
"PC2vsPC8",2.27229311386027,18.1
"PC13vsPC37",2.28253505925717,1.7
"PC4vsPC18",2.28508446381764,9.9
"PC5vsPC23",2.28921906245058,5.7
"PC15vsPC17",2.29117662542347,2.4
"PC15vsPC38",2.29140309826394,1.5
"PC27vsPC35",2.29641867226487,0.8
"PC2vsPC26",2.30106702033912,15.9
"PC1vsPC31",2.30348230588649,26
"PC10vsPC26",2.3048380331506,2.7
"PC2vsPC24",2.31946504054443,16
"PC28vsPC39",2.32746055107997,0.7
"PC10vsPC19",2.3292127870909,3
"PC1vsPC10",2.33088082580909,27.7
"PC8vsPC35",2.33790631458565,3.1
"PC1vsPC37",2.33831806020588,25.8
"PC3vsPC31",2.33934043881384,9.4
"PC7vsPC18",2.33940899689877,4.2
"PC2vsPC9",2.34264603676167,17.8
"PC12vsPC25",2.34534299424655,2.4
"PC18vsPC29",2.34600357596801,1.4
"PC10vsPC31",2.34666591861044,2.5
"PC1vsPC28",2.34763623786434,26.1
"PC2vsPC11",2.36819239592238,17.4
"PC23vsPC34",2.3735864430576,1
"PC10vsPC28",2.37527773445761,2.6
"PC23vsPC24",2.387000406672,1.4
"PC2vsPC38",2.38857862534221,15.5
"PC1vsPC13",2.3886906614879,27.1
"PC12vsPC15",2.38891565039894,3.1
"PC12vsPC35",2.39366782179801,2.1
"PC9vsPC23",2.39617162094035,3.2
"PC23vsPC29",2.39665992522407,1.1
"PC19vsPC31",2.39746649342474,1.3
"PC13vsPC36",2.39847512119296,1.7
"PC14vsPC23",2.40278828322277,2.1
"PC4vsPC25",2.40319589724745,9.5
"PC11vsPC35",2.4037242479733,2.4
"PC5vsPC18",2.40421255060632,6
"PC18vsPC30",2.41483745972112,1.4
"PC15vsPC27",2.41537222740684,1.8
"PC4vsPC15",2.41811315946095,10.2
"PC35vsPC38",2.4286539198058,0.5
"PC10vsPC39",2.44618417263433,2.3
"PC26vsPC39",2.44628566066565,0.8
"PC14vsPC18",2.44739914694601,2.4
"PC13vsPC16",2.44809049247138,2.7
"PC3vsPC22",2.44844037568017,9.8
"PC9vsPC25",2.47165302679348,3.1
"PC22vsPC37",2.47218607306489,1
"PC31vsPC39",2.47582136952891,0.6
"PC20vsPC35",2.4775461854494,1.2
"PC16vsPC19",2.47953056859169,2.1
"PC4vsPC13",2.48025110252084,10.4
"PC28vsPC31",2.49326428718733,0.9
"PC8vsPC25",2.49469588665529,3.4
"PC15vsPC20",2.4972021031079,2.2
"PC23vsPC30",2.50259474459356,1.1
"PC19vsPC22",2.5051356895315,1.7
"PC22vsPC28",2.51175672031879,1.3
"PC2vsPC20",2.51434685087751,16.2
"PC3vsPC19",2.51488433826477,9.9
"PC16vsPC37",2.51521144610199,1.4
"PC15vsPC24",2.52278454452354,2
"PC26vsPC31",2.52565747536307,1
"PC3vsPC39",2.52946685540671,9.2
"PC4vsPC10",2.52956958085711,11
"PC13vsPC21",2.53137969344681,2.3
"PC33vsPC37",2.53432358740228,0.5
"PC19vsPC28",2.53553165903907,1.4
"PC2vsPC34",2.54091303794961,15.6
"PC30vsPC35",2.54282808045014,0.7
"PC25vsPC38",2.54574302223162,0.8
"PC29vsPC31",2.54591731094659,0.8
"PC2vsPC27",2.54633627673137,15.8
"PC2vsPC29",2.54854188852589,15.7
"PC15vsPC29",2.55028810999302,1.7
"PC2vsPC5",2.55424490091443,20.3
"PC4vsPC37",2.56390045335746,9.1
"PC15vsPC34",2.56811256596297,1.6
"PC20vsPC25",2.57102019975968,1.5
"PC25vsPC32",2.57315589174741,1
"PC16vsPC39",2.57706413528527,1.4
"PC22vsPC26",2.5828797246221,1.4
"PC1vsPC36",2.58584864627372,25.8
"PC34vsPC35",2.58886903424678,0.6
"PC2vsPC7",2.59379177090198,18.5
"PC1vsPC16",2.59756838042821,26.8
"PC5vsPC25",2.60115451399768,5.6
"PC16vsPC26",2.60170001478892,1.8
"PC21vsPC31",2.60239556173337,1.2
"PC9vsPC35",2.60706347872939,2.8
"PC25vsPC34",2.61007864821938,0.9
"PC7vsPC25",2.61354310390265,3.8
"PC12vsPC31",2.62303199308312,2.2
"PC5vsPC15",2.62751228174025,6.3
"PC11vsPC37",2.62943008989062,2.3
"PC2vsPC4",2.6322959844736,24.2
"PC36vsPC37",2.6366250183049,0.4
"PC12vsPC39",2.63764148437868,2
"PC24vsPC25",2.63958675460208,1.3
"PC21vsPC39",2.64118422053864,1
"PC33vsPC39",2.64428838809344,0.5
"PC19vsPC33",2.64629385462926,1.2
"PC9vsPC15",2.64795641455479,3.8
"PC22vsPC36",2.64821761446914,1
"PC25vsPC29",2.64914189935597,1
"PC10vsPC22",2.65267915185199,2.9
"PC14vsPC35",2.65555620291981,1.7
"PC11vsPC25",2.6598071237874,2.7
"PC25vsPC27",2.65997852447432,1.1
"PC28vsPC36",2.66881436949641,0.7
"PC11vsPC13",2.67271971034661,3.6
"PC16vsPC31",2.67757406095446,1.6
"PC2vsPC30",2.68301184197807,15.7
"PC17vsPC25",2.68583793444831,1.7
"PC3vsPC16",2.68961622358916,10.2
"PC4vsPC31",2.69639729581123,9.3
"PC3vsPC28",2.69869974217059,9.5
"PC5vsPC35",2.71183784637113,5.3
"PC14vsPC15",2.7181273612562,2.7
"PC26vsPC28",2.71940226352775,1.1
"PC10vsPC36",2.72186964057551,2.3
"PC13vsPC32",2.72253343859888,1.9
"PC2vsPC14",2.72369414860709,16.7
"PC31vsPC34",2.72548460178516,0.7
"PC21vsPC37",2.72714292027797,1
"PC15vsPC30",2.72739085848402,1.7
"PC12vsPC13",2.73422146562608,3.3
"PC16vsPC28",2.74092361995021,1.7
"PC7vsPC37",2.74161138347522,3.4
"PC3vsPC21",2.74794311653756,9.8
"PC7vsPC13",2.74808810527022,4.7
"PC10vsPC16",2.75391860023862,3.3
"PC13vsPC38",2.75757596614157,1.7
"PC9vsPC13",2.76186614302155,4
"PC27vsPC31",2.76687536148403,0.9
"PC12vsPC19",2.77284060050601,2.7
"PC11vsPC31",2.77435203075615,2.5
"PC8vsPC37",2.78029338490214,3
"PC31vsPC36",2.78044517148991,0.6
"PC1vsPC26",2.78369921360587,26.2
"PC19vsPC36",2.78686363796539,1.1
"PC16vsPC36",2.78762985899176,1.4
"PC27vsPC39",2.79268890382131,0.7
"PC19vsPC26",2.79962762466968,1.5
"PC13vsPC33",2.80198243965238,1.8
"PC31vsPC33",2.8070105517053,0.7
"PC4vsPC39",2.81653949165346,9.1
"PC13vsPC29",2.8206370008824,1.9
"PC25vsPC30",2.83095700511388,1
"PC16vsPC22",2.83409287879402,2
"PC13vsPC17",2.85704769685903,2.6
"PC12vsPC37",2.85740642534475,2
"PC17vsPC19",2.85748758597772,2
"PC3vsPC26",2.87988260323341,9.6
"PC32vsPC37",2.88322800817731,0.6
"PC1vsPC22",2.88590080004373,26.4
"PC19vsPC21",2.8885711924237,1.7
"PC10vsPC32",2.89136758174604,2.5
"PC3vsPC12",2.89186626322547,10.8
"PC13vsPC27",2.89236894477054,2
"PC13vsPC20",2.90511539450196,2.4
"PC1vsPC19",2.90706256076134,26.5
"PC21vsPC26",2.90790208160427,1.4
"PC4vsPC19",2.91288757035512,9.8
"PC13vsPC24",2.91374308973369,2.2
"PC4vsPC22",2.91451715126594,9.7
"PC7vsPC10",2.92219970825255,5.3
"PC3vsPC36",2.92413002981531,9.2
"PC10vsPC33",2.93666582056392,2.4
"PC8vsPC13",2.94174190876308,4.3
"PC3vsPC33",2.9484515220134,9.3
"PC10vsPC27",2.95127189120537,2.6
"PC12vsPC28",2.9534330868341,2.3
"PC11vsPC28",2.95626079689502,2.6
"PC7vsPC31",2.95713152179615,3.6
"PC10vsPC12",2.96496321405803,3.9
"PC1vsPC21",2.97418459368358,26.4
"PC8vsPC31",2.98279665418699,3.2
"PC37vsPC38",2.98393435026522,0.4
"PC24vsPC39",2.98796572579914,0.9
"PC33vsPC36",2.99045947970684,0.5
"PC14vsPC25",2.99300748120466,2
"PC28vsPC33",2.99322602223158,0.8
"PC26vsPC32",2.99583279417447,1
"PC27vsPC37",2.9961221787133,0.7
"PC24vsPC37",2.99652597106922,0.9
"PC28vsPC38",3.00272461146741,0.7
"PC5vsPC13",3.00348321628221,6.5
"PC34vsPC39",3.00373815808899,0.5
"PC10vsPC21",3.00560906749502,2.9
"PC21vsPC28",3.01060832204663,1.3
"PC8vsPC28",3.01576303258677,3.3
"PC9vsPC37",3.01729503151816,2.7
"PC11vsPC19",3.02303153619073,3
"PC5vsPC37",3.02427203617373,5.2
"PC29vsPC37",3.02618012968186,0.6
"PC21vsPC22",3.02840506406876,1.6
"PC31vsPC38",3.03106387964742,0.6
"PC13vsPC34",3.03556554513006,1.8
"PC19vsPC32",3.03763588851719,1.3
"PC17vsPC31",3.03827115759809,1.5
"PC4vsPC28",3.0382769147637,9.4
"PC11vsPC39",3.04071979191689,2.3
"PC17vsPC28",3.04706397314365,1.6
"PC7vsPC39",3.06051420262994,3.4
"PC24vsPC31",3.06371031984028,1.1
"PC26vsPC36",3.06544552440227,0.8
"PC36vsPC39",3.06957044965971,0.4
"PC8vsPC22",3.07266576997733,3.6
"PC17vsPC37",3.07520974171037,1.3
"PC8vsPC10",3.07730615227778,4.9
"PC19vsPC38",3.0781833400698,1.1
"PC31vsPC32",3.08152397288907,0.8
"PC22vsPC32",3.08561035106283,1.2
"PC3vsPC27",3.0863273324664,9.5
"PC10vsPC11",3.0867556436809,4.2
"PC20vsPC31",3.09645683332166,1.3
"PC4vsPC16",3.10094082283915,10.1
"PC12vsPC26",3.10158870606719,2.4
"PC26vsPC33",3.10684316562807,0.9
"PC21vsPC36",3.10716566031141,1
"PC10vsPC17",3.11048499372419,3.2
"PC28vsPC32",3.11680833591855,0.9
"PC22vsPC33",3.11728013513869,1.1
"PC8vsPC19",3.12858033209866,3.7
"PC4vsPC21",3.14257792962608,9.7
"PC34vsPC37",3.15061938784631,0.5
"PC1vsPC8",3.15487013616705,28.4
"PC19vsPC27",3.15765969345973,1.4
"PC27vsPC28",3.16470478261699,1
"PC4vsPC36",3.17210612023608,9.1
"PC20vsPC39",3.17378568851289,1.1
"PC3vsPC11",3.17564927116358,11.1
"PC7vsPC22",3.18064164918596,4
"PC1vsPC32",3.18187538965856,26
"PC10vsPC29",3.18187668305811,2.5
"PC1vsPC3",3.1843583102816,34.6
"PC9vsPC31",3.18642244501209,2.9
"PC28vsPC34",3.18946622601809,0.8
"PC10vsPC24",3.19029262436887,2.8
"PC5vsPC19",3.19057206397464,5.9
"PC12vsPC36",3.19073204506646,2
"PC7vsPC28",3.19212412854566,3.7
"PC7vsPC16",3.19271642590708,4.4
"PC3vsPC4",3.19359949913666,17.9
"PC10vsPC20",3.19817926526319,3
"PC10vsPC38",3.19870564411954,2.3
"PC24vsPC26",3.20317973368431,1.3
"PC13vsPC14",3.20556894675259,2.9
"PC3vsPC17",3.20563174795529,10.1
"PC11vsPC16",3.21011317364788,3.3
"PC22vsPC38",3.21809131906213,1
"PC12vsPC16",3.21935872593936,3
"PC5vsPC31",3.22684331149698,5.4
"PC1vsPC33",3.22766181557861,25.9
"PC17vsPC22",3.23426341676249,1.9
"PC1vsPC11",3.23726185657927,27.7
"PC8vsPC39",3.24734693379237,3
"PC20vsPC37",3.24939295345324,1.1
"PC20vsPC28",3.25394823538394,1.4
"PC11vsPC22",3.25468262891652,2.9
"PC4vsPC26",3.25668311295228,9.5
"PC9vsPC39",3.25674381922741,2.7
"PC17vsPC39",3.25688540538006,1.3
"PC7vsPC19",3.25778928351593,4.1
"PC3vsPC8",3.26890893595516,11.8
"PC8vsPC26",3.26960218166175,3.4
"PC16vsPC32",3.27276660916952,1.6
"PC13vsPC30",3.27870744667341,1.9
"PC11vsPC26",3.28051888239889,2.7
"PC29vsPC39",3.28152559433104,0.6
"PC16vsPC33",3.28320389786891,1.5
"PC14vsPC31",3.28980205874913,1.8
"PC3vsPC32",3.29088134293551,9.4
"PC16vsPC27",3.2914072794398,1.7
"PC30vsPC37",3.30140378435772,0.6
"PC38vsPC39",3.30357123547435,0.4
"PC3vsPC7",3.30729749815368,12.2
"PC5vsPC39",3.30861371527307,5.2
"PC19vsPC20",3.31184299628319,1.8
"PC24vsPC36",3.32549096769981,0.9
"PC1vsPC12",3.32757535909735,27.4
"PC17vsPC26",3.33428186651799,1.7
"PC24vsPC28",3.34795519321799,1.2
"PC3vsPC34",3.35192745640853,9.3
"PC16vsPC17",3.35492995458471,2.3
"PC22vsPC29",3.35680386730437,1.2
"PC32vsPC39",3.35694424866488,0.6
"PC3vsPC38",3.35786093402799,9.2
"PC3vsPC9",3.35954562731321,11.5
"PC16vsPC38",3.36057420683022,1.4
"PC10vsPC34",3.36295852231569,2.4
"PC28vsPC29",3.36503822906417,0.9
"PC1vsPC4",3.36546479832189,34.5
"PC3vsPC24",3.38366363262458,9.7
"PC14vsPC37",3.38384581276412,1.6
"PC16vsPC21",3.3974916303516,2
"PC9vsPC19",3.398157919408,3.4
"PC19vsPC24",3.40105359153059,1.6
"PC30vsPC31",3.40532157244925,0.8
"PC19vsPC29",3.40932108495683,1.3
"PC26vsPC38",3.41458053825238,0.8
"PC19vsPC34",3.42021240491488,1.2
"PC3vsPC20",3.42718869161369,9.9
"PC4vsPC33",3.43016646076584,9.2
"PC7vsPC26",3.44163698231034,3.8
"PC14vsPC28",3.44654834886817,1.9
"PC26vsPC27",3.44974843450991,1.1
"PC21vsPC33",3.45676774855042,1.1
"PC16vsPC29",3.45738609231088,1.6
"PC1vsPC17",3.46776037334871,26.7
"PC1vsPC27",3.46900848351882,26.1
"PC3vsPC14",3.47231501548453,10.4
"PC1vsPC24",3.47369407875796,26.3
"PC3vsPC29",3.47370932894334,9.4
"PC32vsPC36",3.47669722327681,0.6
"PC7vsPC21",3.48171221674145,4
"PC4vsPC8",3.48426678432539,11.7
"PC20vsPC26",3.49003759071398,1.5
"PC9vsPC26",3.49506144592042,3.1
"PC1vsPC38",3.50305731347924,25.8
"PC10vsPC14",3.50590509388438,3.5
"PC22vsPC34",3.51114324105216,1.1
"PC1vsPC20",3.51157886271118,26.5
"PC10vsPC30",3.51280216951475,2.5
"PC5vsPC10",3.51449374096776,7.1
"PC3vsPC5",3.51973468092302,14
"PC21vsPC38",3.52044474639056,1
"PC30vsPC39",3.5257952350379,0.6
"PC1vsPC9",3.52644221638808,28.1
"PC12vsPC22",3.52699265007035,2.6
"PC4vsPC11",3.53176332662197,11
"PC9vsPC28",3.53566961555707,3
"PC8vsPC16",3.53628759006805,4
"PC1vsPC29",3.5385813309952,26
"PC16vsPC20",3.54124051752478,2.1
"PC36vsPC38",3.54669952542149,0.4
"PC16vsPC24",3.55240483768861,1.9
"PC14vsPC39",3.55581857063531,1.6
"PC20vsPC22",3.55593996530168,1.7
"PC9vsPC10",3.56365869004771,4.6
"PC16vsPC34",3.56815897544953,1.5
"PC22vsPC24",3.56986017648074,1.5
"PC26vsPC34",3.57384377513837,0.9
"PC4vsPC12",3.5954004478258,10.7
"PC21vsPC32",3.59812953471228,1.2
"PC3vsPC30",3.60069470267059,9.4
"PC27vsPC36",3.60582989415466,0.7
"PC11vsPC21",3.60722735343406,2.9
"PC4vsPC17",3.61229339762062,10
"PC28vsPC30",3.61351896412054,0.9
"PC14vsPC19",3.62776265066892,2.3
"PC11vsPC36",3.62820489852981,2.3
"PC26vsPC29",3.63907183333354,1
"PC4vsPC32",3.64132657530209,9.3
"PC9vsPC22",3.64395358130207,3.3
"PC1vsPC7",3.64641036514207,28.8
"PC8vsPC12",3.64986275358347,4.6
"PC7vsPC33",3.65014562819644,3.5
"PC22vsPC27",3.65864855336461,1.3
"PC8vsPC21",3.66024367608522,3.6
"PC5vsPC26",3.66260254407479,5.6
"PC5vsPC28",3.66307633576638,5.5
"PC8vsPC36",3.66793101464486,3
"PC11vsPC33",3.67061487750195,2.4
"PC7vsPC36",3.67348684086014,3.4
"PC14vsPC26",3.67460034128188,2
"PC32vsPC33",3.68203216235255,0.7
"PC12vsPC32",3.68642815298515,2.2
"PC1vsPC34",3.69547854898381,25.9
"PC20vsPC36",3.69595475238649,1.1
"PC17vsPC33",3.69943241086106,1.4
"PC19vsPC30",3.70892202801699,1.3
"PC8vsPC33",3.71517012560753,3.1
"PC17vsPC21",3.71610595801276,1.9
"PC21vsPC27",3.7200735829791,1.3
"PC12vsPC21",3.7216643322989,2.6
"PC26vsPC30",3.72257892715041,1
"PC17vsPC36",3.72644272027207,1.3
"PC12vsPC17",3.73513740100957,2.9
"PC5vsPC16",3.74780976631887,6.2
"PC4vsPC38",3.74796342282317,9.1
"PC5vsPC22",3.75168791555225,5.8
"PC27vsPC33",3.75784130187703,0.8
"PC14vsPC22",3.76391124143181,2.2
"PC14vsPC16",3.76973517027471,2.6
"PC12vsPC33",3.77413741841105,2.1
"PC34vsPC36",3.80588601594139,0.5
"PC7vsPC12",3.81059569124869,5
"PC4vsPC7",3.82336940536221,12.1
"PC21vsPC29",3.82684841708359,1.2
"PC1vsPC5",3.82938686803797,30.6
"PC9vsPC36",3.83242108208615,2.7
"PC22vsPC30",3.83431765097158,1.2
"PC4vsPC29",3.85345161630998,9.3
"PC4vsPC20",3.85362606501637,9.8
"PC7vsPC8",3.85480617375613,6
"PC11vsPC12",3.86308704659604,3.9
"PC21vsPC24",3.86974960677427,1.5
"PC20vsPC21",3.88540036207759,1.7
"PC5vsPC36",3.88599373603558,5.2
"PC29vsPC36",3.88908331205583,0.6
"PC1vsPC30",3.89623112294577,26
"PC1vsPC14",3.89698984960912,27
"PC16vsPC30",3.89815334339177,1.6
"PC4vsPC24",3.89849757584155,9.6
"PC4vsPC27",3.89972578770551,9.4
"PC21vsPC34",3.90733218632936,1.1
"PC11vsPC27",3.91391724100624,2.6
"PC11vsPC24",3.91439704666149,2.8
"PC4vsPC9",3.92461115117904,11.4
"PC29vsPC33",3.93007336090917,0.7
"PC9vsPC16",3.9392080189234,3.7
"PC24vsPC33",3.94056271276457,1
"PC14vsPC36",3.94730405927506,1.6
"PC24vsPC32",3.95773958388745,1.1
"PC8vsPC17",3.97159536680085,3.9
"PC11vsPC32",3.97302312142818,2.5
"PC33vsPC38",3.97793691349209,0.5
"PC8vsPC27",3.98951250955168,3.3
"PC12vsPC38",4.00886417460857,2
"PC7vsPC24",4.0124744016892,3.9
"PC4vsPC34",4.01440752151758,9.2
"PC8vsPC32",4.01569950764376,3.2
"PC12vsPC29",4.01652818444554,2.2
"PC11vsPC17",4.02015486106299,3.2
"PC7vsPC11",4.0227520289106,5.3
"PC27vsPC32",4.02669135316251,0.9
"PC17vsPC27",4.0390822184998,1.6
"PC8vsPC11",4.04024364530989,4.9
"PC33vsPC34",4.04300040809165,0.6
"PC12vsPC27",4.04593713277573,2.3
"PC7vsPC32",4.06177272912398,3.6
"PC11vsPC38",4.08091054693616,2.3
"PC8vsPC20",4.08262606092433,3.7
"PC20vsPC33",4.09039003115666,1.2
"PC24vsPC29",4.09287690350248,1.1
"PC20vsPC27",4.09969771389257,1.4
"PC11vsPC14",4.10074515151128,3.5
"PC12vsPC24",4.10458430275608,2.5
"PC24vsPC27",4.10497288548451,1.2
